candidate_id,pmid,domain,source_location,v1_decision,v1_grade,re_adjudication_decision,re_adjudication_reason,sampling_stratum,error_category
12875,41545030,toxicity,Discussion > Reduction in ABCB10 Expression Does Not Cause Diaphragm Dysfunction; paragraph 40,accept,C,reject,Verified full text evidence at Discussion > Reduction in ABCB10 Expression Does Not Cause Diaphragm Dysfunction; paragraph 40: primary toxicity support for hepatotoxicity in an oligonucleotide context,b009mega,missing_scope_exclusion
12970,41422761,offtarget,,reject,,reject,reject reason: off-target mention is not supported by primary analysis,b009mega,
3695,40576767,toxicity,PubMed abstract,accept,C,reject,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b003,missing_scope_exclusion
12808,41588921,toxicity,Results > Engineered VNP Strain Exerts Enhanced Anti‐Melanoma Activity by Targeting GR in Neutrophils; paragraph 20,accept,A,reject,Verified full text evidence at Results > Engineered VNP Strain Exerts Enhanced Anti‐Melanoma Activity by Targeting GR in Neutrophils; paragraph 20: primary toxicity support for hepatotoxicity in an ol,b009mega,missing_scope_exclusion
10466,42173448,toxicity,PubMed abstract,accept,C,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,domain_confusion
15518,40096771,toxicity,Results > Inhibition of BARD1 enhances therapeutic efficacy of DNA damage response agents; paragraph 30,accept,A,reject,Verified full text evidence at Results > Inhibition of BARD1 enhances therapeutic efficacy of DNA damage response agents; paragraph 30: primary toxicity support for hepatotoxicity in an oligonucleotid,b009mega,domain_confusion
15024,37745037,offtarget,Abstract; paragraph 1,accept,B,reject,Verified full text evidence at Abstract; paragraph 1: primary offtarget support for hybridization/mismatch off-target effect in an oligonucleotide context.,b009mega,missing_scope_exclusion
16131,34013156,toxicity,,reject,,reject,reject reason: safety endpoint is too generic or unsupported,b009mega,
4503,28633548,toxicity,Abstract; paragraph 1,accept,B,reject,accepted: full text source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=Abstract; paragraph 1.,b003,domain_confusion
9353,39097115,offtarget,,reject,B,reject,reject reason: delivery/efficacy specificity rather than oligo off-target evidence,b005,
2615,22762276,offtarget,,reject,,reject,"reject reason: review/meta-analysis, not primary evidence",b007,
2632,19854938,offtarget,RESULTS AND DISCUSSION > Gene silencing by gymnotic delivery is a general phenomenon; paragraph 15,accept,A,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for off-target evidence; location=RESULTS AND DISCUSSION > Gene silencing by gymnotic delivery is a general phenomenon; p,b003,domain_confusion
1603,41654146,toxicity,PubMed abstract,accept,C,reject,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for renal safety; location=PubMed abstract.,b003,missing_scope_exclusion
442,39549635,toxicity,PubMed abstract,accept,B,accept,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b004,
2605,24932560,toxicity,PubMed abstract,accept,B,accept,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b003,
11402,40313754,toxicity,RESULTS > Lead MECP2-targeting siRNAs tune MECP2 levels in wildtype mice for up to four months; paragraph 16,accept,A,reject,Verified full text evidence at RESULTS > Lead MECP2-targeting siRNAs tune MECP2 levels in wildtype mice for up to four months; paragraph 16: primary toxicity support for toxicity in an oligonucleotide,b009mega,domain_confusion
13936,40531599,toxicity,,reject,,reject,reject reason: safety endpoint is too generic or unsupported,b009mega,
5414,41745625,toxicity,,reject,,reject,reject reason: no ASO/siRNA/oligonucleotide molecule support in source text,b007,
12664,41706894,toxicity,Abstract; paragraph 2,accept,B,reject,Verified full text evidence at Abstract; paragraph 2: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
5538,41662774,toxicity,,reject,B,reject,reject reason: source text is background/narrative rather than primary result,b004,
2452,36620965,toxicity,PubMed abstract,accept,B,accept,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b004,
10912,28123102,offtarget,RESULTS > Gross and Anatomic Pathology; paragraph 42,accept,A,reject,Verified full text evidence at RESULTS > Gross and Anatomic Pathology; paragraph 42: primary offtarget support for hybridization/mismatch off-target effect in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
15070,37507701,toxicity,Results > Biological function of GEMIN4 in BLBC cell lines; paragraph 27,accept,A,reject,Verified full text evidence at Results > Biological function of GEMIN4 in BLBC cell lines; paragraph 27: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,missing_scope_exclusion
14171,40187509,toxicity,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,acronym_collision
551,42040413,offtarget,Results and Discussion > Rational Design and Optimization of siRNA Candidates for Targeted SKP2 Silencing in Breast Cancer; paragraph 30,accept,A,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for transcriptome-level off-target effect; location=Results and Discussion > Rational Design and Optimization of siRNA Ca,b003,domain_confusion
7587,40063241,offtarget,,reject,B,reject,reject reason: delivery/efficacy specificity rather than oligo off-target evidence,b005,
2463,36223135,offtarget,PubMed abstract,accept,B,accept,accepted: PubMed abstract source supports primary oligonucleotide offtarget evidence for seed-mediated off-target effect; location=PubMed abstract.,b003,
6194,41337024,offtarget,,reject,,reject,reject reason: no ASO/siRNA/oligonucleotide molecule support in source text,b007,
10316,40134378,toxicity,,reject,,reject,reject reason: safety endpoint is too generic or unsupported,b009mega,
11112,39321261,offtarget,3 Results > 3.5 OligoFormer with off-target searching for siRNA design; paragraph 31,accept,A,reject,Verified full text evidence at 3 Results > 3.5 OligoFormer with off-target searching for siRNA design; paragraph 31: primary offtarget support for seed-mediated off-target effect in an oligonucleotide,b009mega,boilerplate_no_endpoint
14077,40327939,toxicity,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,missing_scope_exclusion
16049,35168151,toxicity,PubMed abstract,accept,C,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
11164,41868107,offtarget,article body; paragraph 14,accept,B,reject,Verified full text evidence at article body; paragraph 14: primary offtarget support for seed-mediated off-target effect in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
1069,41809386,toxicity,Results and discussion > Fabrication of CaP-siSlc31a1 for efficient cellular uptake and gene silencing; paragraph 13,accept,A,reject,accepted: verified Results biocompatibility evidence for CaP-siSlc31a1; formulation showed lower cytotoxicity than liposomal comparator and maintained over 80% cell viability.,b007,domain_confusion
2569,28988714,offtarget,Abstract; paragraph 1,accept,B,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for off-target evidence; location=Abstract; paragraph 1.,b003,domain_confusion
13186,41392621,toxicity,Results and Discussion > Specific Gene Silencing Studies; paragraph 21,accept,C,reject,Verified full text evidence at Results and Discussion > Specific Gene Silencing Studies; paragraph 21: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,missing_scope_exclusion
11979,42119979,offtarget,PubMed abstract,accept,C,reject,Verified PubMed abstract evidence at PubMed abstract: primary offtarget support for transcriptome-level off-target effect in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
10960,40383157,offtarget,,reject,,reject,reject reason: source location does not support specific off-target evidence,b009mega,
15547,39990870,offtarget,Results > Over-representation analyses of transcriptome changes following COP1 suppression in transformed and primary hepatocytes; paragraph 22,accept,A,reject,Verified full text evidence at Results > Over-representation analyses of transcriptome changes following COP1 suppression in transformed and primary hepatocytes; paragraph 22: primary offtarget suppor,b009mega,other
15154,40303332,offtarget,Materials and Methods > Single cell RNA sequencing (scRNA-seq); paragraph 23,accept,C,reject,Verified full text evidence at Materials and Methods > Single cell RNA sequencing (scRNA-seq); paragraph 23: primary offtarget support for off-target evidence in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
13418,41094015,offtarget,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary offtarget support for off-target evidence in an oligonucleotide context.,b009mega,domain_confusion
6081,41573570,toxicity,,reject,,reject,reject reason: PubMed abstract does not report a direct oligo/product safety result,b007,
9057,40080304,toxicity,,reject,B,reject,reject reason: PubMed abstract does not report a direct oligo/product safety result,b004,
15269,30544191,offtarget,RESULTS > Cy3 dye has no major impact on tissue distribution profile of lipid-conjugated siRNA; paragraph 25,accept,A,reject,Verified full text evidence at RESULTS > Cy3 dye has no major impact on tissue distribution profile of lipid-conjugated siRNA; paragraph 25: primary offtarget support for hybridization/mismatch off-ta,b009mega,domain_confusion
10433,39882764,offtarget,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary offtarget support for hybridization/mismatch off-target effect in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
6632,40928959,toxicity,PubMed abstract,accept,C,reject,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b004,domain_confusion
3337,41076799,toxicity,PubMed abstract,accept,C,reject,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b003,domain_confusion
2435,37111598,toxicity,Abstract; paragraph 1,accept,B,accept,accepted: full text source supports primary oligonucleotide toxicity evidence for renal safety; location=Abstract; paragraph 1.,b003,
12504,41831873,offtarget,,reject,,reject,reject reason: source location does not support specific off-target evidence,b009mega,
4280,36318487,offtarget,,reject,B,reject,reject reason: delivery/efficacy specificity rather than oligo off-target evidence,b005,
9121,32186780,offtarget,Discussion; paragraph 40,accept,B,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for off-target evidence; location=Discussion; paragraph 40.,b003,missing_scope_exclusion
2555,31804057,offtarget,RESULTS AND DISCUSSION > TOXcms Identifies Off-target Effects of Genetic Knockdown.; paragraph 28,accept,A,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for off-target evidence; location=RESULTS AND DISCUSSION > TOXcms Identifies Off-target Effects of Genetic Knockdown.; pa,b003,missing_scope_exclusion
4463,32006400,offtarget,PubMed abstract,accept,B,uncertain,accepted: PubMed abstract source supports primary oligonucleotide offtarget evidence for off-target evidence; location=PubMed abstract.,b003,
10809,35155859,toxicity,Results > Safety; paragraph 28,accept,A,accept,Verified full text evidence at Results > Safety; paragraph 28: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,
5428,41735176,toxicity,,reject,B,reject,"reject reason: endogenous antisense/lncRNA biology, not therapeutic oligo evidence",b004,
3878,39934917,offtarget,Discussion; paragraph 15,accept,B,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for seed-mediated off-target effect; location=Discussion; paragraph 15.,b003,domain_confusion
9051,40185294,offtarget,,reject,B,reject,reject reason: no off-target/seed/mismatch/transcriptome evidence in verified source text,b005,
15496,40171277,offtarget,Results > Designing new shRNAs to target the CAG tract; paragraph 9,accept,C,reject,Verified full text evidence at Results > Designing new shRNAs to target the CAG tract; paragraph 9: primary offtarget support for seed-mediated off-target effect in an oligonucleotide context.,b009mega,missing_scope_exclusion
15220,39006767,toxicity,Results and discussion > Inflammatory inhibition effect of the hybrid nanocomposite; paragraph 40,accept,C,reject,Verified full text evidence at Results and discussion > Inflammatory inhibition effect of the hybrid nanocomposite; paragraph 40: primary toxicity support for hepatotoxicity in an oligonucleotide cont,b009mega,boilerplate_no_endpoint
1929,24321374,toxicity,3. Results > 3.2. Safety results; paragraph 15,accept,A,accept,accepted: full text source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=3. Results > 3.2. Safety results; paragraph 15.,b003,
3433,41165149,toxicity,PubMed abstract,accept,C,reject,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b003,domain_confusion
12122,42036047,toxicity,Results > KIF14 contributes to MYCBP2-dependent AML cell phenotypes; paragraph 11,accept,A,reject,Verified full text evidence at Results > KIF14 contributes to MYCBP2-dependent AML cell phenotypes; paragraph 11: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,domain_confusion
13757,40720029,toxicity,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,domain_confusion
11973,42124655,toxicity,Abstract; paragraph 1,accept,B,reject,Verified full text evidence at Abstract; paragraph 1: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,domain_confusion
4560,22246038,toxicity,PubMed abstract,accept,C,accept,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b003,
10564,38893532,toxicity,,reject,,reject,"reject reason: review/background article, not primary release evidence",b009mega,
4707,42170085,offtarget,Conclusions; paragraph 26,accept,B,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for transcriptome-level off-target effect; location=Conclusions; paragraph 26.,b003,missing_scope_exclusion
7361,40327938,toxicity,,reject,B,reject,"reject reason: disease-mechanism study using RNA perturbation, not oligo safety evidence",b004,
11267,41398520,offtarget,PubMed abstract,accept,C,reject,Verified PubMed abstract evidence at PubMed abstract: primary offtarget support for off-target evidence in an oligonucleotide context.,b009mega,domain_confusion
2228,40053895,toxicity,Results > Integrated safety analysis: AEs; paragraph 26,accept,A,accept,accepted: full text source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=Results > Integrated safety analysis: AEs; paragraph 26.,b003,
15326,41772976,toxicity,,reject,,reject,reject reason: source location does not contain a toxicity or safety endpoint,b009mega,
3825,40185334,offtarget,PubMed abstract,accept,B,reject,accepted: PubMed abstract source supports primary oligonucleotide offtarget evidence for off-target evidence; location=PubMed abstract.,b005,domain_confusion
11675,32990754,offtarget,Abstract; paragraph 1,accept,B,reject,Verified full text evidence at Abstract; paragraph 1: primary offtarget support for off-target evidence in an oligonucleotide context.,b009mega,missing_scope_exclusion
11072,26042553,offtarget,,reject,,reject,reject reason: source location does not support specific off-target evidence,b009mega,
1192,40654340,toxicity,Results and discussion > Cell viability; paragraph 39,accept,A,accept,accepted: full text source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=Results and discussion > Cell viability; paragraph 39.,b003,
6379,41163791,offtarget,Results and Discussion > In Vitro Gene Silencing and Lysosomal Escape; FIGURE 2 caption,reject,B,reject,reject reason: source text is background/narrative rather than primary result,b003,
2185,40391436,toxicity,RESULTS > Safety Analysis; paragraph 36,accept,A,accept,"accepted: verified ORION-13 clinical safety results for inclisiran; no ALT/AST, bilirubin, creatinine, CK, growth, puberty, or hormonal safety abnormalities were reported at the checked Results safety",b006,
12043,42090086,offtarget,PubMed abstract,accept,C,reject,Verified PubMed abstract evidence at PubMed abstract: primary offtarget support for hybridization/mismatch off-target effect in an oligonucleotide context.,b009mega,missing_scope_exclusion
3544,40877516,toxicity,PubMed abstract,accept,C,reject,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b003,domain_confusion
4194,37797162,offtarget,PubMed abstract,accept,B,reject,accepted: PubMed abstract source supports primary oligonucleotide offtarget evidence for hybridization/mismatch off-target effect; location=PubMed abstract.,b003,domain_confusion
13124,41594586,offtarget,Abstract; paragraph 1,accept,C,reject,Verified full text evidence at Abstract; paragraph 1: primary offtarget support for off-target evidence in an oligonucleotide context.,b009mega,domain_confusion
16309,27378237,offtarget,Results; paragraph 9,accept,A,accept,Verified full text evidence at Results; paragraph 9: primary offtarget support for transcriptome-level off-target effect in an oligonucleotide context.,b009mega,
15794,37349699,offtarget,,reject,,reject,reject reason: source location does not support specific off-target evidence,b009mega,
12968,41422893,toxicity,,reject,,reject,reject reason: safety-like term is part of disease efficacy/cell-killing readout,b009mega,
14584,39164686,offtarget,,reject,,reject,reject reason: source support is introduction/background only,b009mega,
13835,40637829,toxicity,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
1532,33534636,toxicity,,reject,B,accept,"reject reason: cytotoxicity appears to be efficacy/cancer-killing readout, not safety evidence",b003,
2590,26366082,toxicity,Results and discussion > PMO delivery in C2C12 myoblast cell lines expressing GFP/hDysE50; paragraph 17,accept,A,accept,accepted: full text source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=Results and discussion > PMO delivery in C2C12 myoblast cell lines expressing GFP/hDysE50; pa,b003,
120,41541269,toxicity,Discussion; paragraph 17,accept,C,reject,"accepted: verified specific toxicology details for GalNAc-siRNA platform, including NOAEL and ALT/AST/urea observations; source is Discussion, so grade C/non-benchmark.",b007,domain_confusion
12542,41806608,toxicity,PubMed abstract,accept,C,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
11865,42176919,offtarget,,reject,,reject,reject reason: source location does not support specific off-target evidence,b009mega,
13719,40781069,offtarget,Abstract; paragraph 1,accept,B,reject,Verified full text evidence at Abstract; paragraph 1: primary offtarget support for hybridization/mismatch off-target effect in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
700,38394820,toxicity,PubMed abstract,accept,B,reject,accepted: PubMed abstract source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=PubMed abstract.,b003,domain_confusion
13239,41304847,toxicity,3. Discussion; paragraph 40,accept,C,reject,Verified full text evidence at 3. Discussion; paragraph 40: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,domain_confusion
12997,41351883,toxicity,PubMed abstract,accept,C,reject,Verified PubMed abstract evidence at PubMed abstract: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,missing_scope_exclusion
2524,33540294,toxicity,Results > PS- and ME/PS- modified oligonucleotides decrease platelet concentration in vitro; paragraph 29,accept,A,accept,accepted: full text source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=Results > PS- and ME/PS- modified oligonucleotides decrease platelet concentration in vitro; ,b003,
12834,41572387,offtarget,,reject,,reject,reject reason: no oligonucleotide modality linked to off-target evidence,b009mega,
10672,41341748,offtarget,Results > Characterization of off-target activities of bsYW-61; paragraph 14,accept,A,reject,Verified full text evidence at Results > Characterization of off-target activities of bsYW-61; paragraph 14: primary offtarget support for seed-mediated off-target effect in an oligonucleotide context,b009mega,domain_confusion
582,41911333,toxicity,Results and Discussion > In Vitro Characterizations of ICLs?Mediated Transfection; paragraph 11,accept,A,reject,accepted: verified in vitro siRNA-LNP transfection Results; effective ionizable lipid formulations generally maintained cell viability at or above 80%.,b007,domain_confusion
7939,39536059,offtarget,,reject,,reject,reject reason: no ASO/siRNA/oligonucleotide molecule support in source text,b007,
2153,40727077,offtarget,Results and discussion > Limitations and prospects; paragraph 50,accept,A,reject,accepted: full text source supports primary oligonucleotide offtarget evidence for off-target evidence; location=Results and discussion > Limitations and prospects; paragraph 50.,b003,domain_confusion
13456,41069968,toxicity,Abstract > Results; paragraph 3,accept,A,accept,Verified full text evidence at Abstract > Results; paragraph 3: primary toxicity support for systemic safety/tolerability in an oligonucleotide context.,b009mega,
10561,39122967,toxicity,Methods > Design of the study; paragraph 45,accept,B,accept,Verified full text evidence at Methods > Design of the study; paragraph 45: primary toxicity support for hepatotoxicity in an oligonucleotide context.,b009mega,
14037,40391085,offtarget,,reject,,reject,reject reason: out-of-scope organism or non-therapeutic oligonucleotide context,b009mega,
2603,25155593,toxicity,Abstract; paragraph 1,accept,B,accept,accepted: verified single-ascending-dose clinical safety/PK evidence for AVI-6002 and AVI-6003 phosphorodiamidate morpholino oligomer combinations at the checked abstract/full-text location.,b006,
471,41949020,toxicity,,reject,B,reject,reject reason: toxicity endpoint belongs to non-oligonucleotide drug or exposure,b004,
1014,41201497,offtarget,,reject,B,reject,reject reason: agricultural/plant/insect/non-therapeutic RNAi context,b003,
10739,39385468,offtarget,Abstract; paragraph 1,accept,C,reject,Verified full text evidence at Abstract; paragraph 1: primary offtarget support for off-target evidence in an oligonucleotide context.,b009mega,missing_scope_exclusion
13882,40586711,toxicity,Results > LINC01235 KO/KD decreases proliferation of breast tumor luminal progenitor-like cells; paragraph 31,accept,A,reject,Verified full text evidence at Results > LINC01235 KO/KD decreases proliferation of breast tumor luminal progenitor-like cells; paragraph 31: primary toxicity support for hepatotoxicity in an oligonuc,b009mega,missing_scope_exclusion
5435,41732388,toxicity,Discussion; paragraph 44,accept,B,reject,accepted: full text source supports primary oligonucleotide toxicity evidence for hepatotoxicity; location=Discussion; paragraph 44.,b003,missing_scope_exclusion
10357,41012491,offtarget,4. Results > 4.1. Model Validation and Characterization of General Tissue Distribution; paragraph 20,accept,C,reject,Verified full text evidence at 4. Results > 4.1. Model Validation and Characterization of General Tissue Distribution; paragraph 20: primary offtarget support for transcriptome-level off-target effect,b009mega,domain_confusion
12621,41747415,offtarget,PubMed abstract,accept,B,reject,Verified PubMed abstract evidence at PubMed abstract: primary offtarget support for hybridization/mismatch off-target effect in an oligonucleotide context.,b009mega,boilerplate_no_endpoint
