entity_id,entity_table,sid,molecule,pmid,pmcid,doi,title,v1_claimed_evidence_type,v1_grade,v1_claimed_location,v2_proposed_decision,v2_evidence_type,v2_domain_match,v2_in_scope,v2_grade,v2_confidence,v2_passage_kind,v2_grounding_verified,v2_grounding_quote,v2_reason,extractor_model,human_decision,human_curator_id,human_evidence_grade,human_note
14,offtarget_evidence,13,ASO candidate from PMID 29499955,29499955,PMC5725219,10.1016/j.omtn.2017.11.004,A Sensitive In Vitro Approach to Assess the Hybridization-Dependent Toxic Potential of High Affinity Gapmer Oligonucleotides.,hybridization/mismatch off-target effect,C,Discussion; paragraph 23,accept,hybridization-dependent off-target RNA downregulation/toxicity,True,True,C,0.78,pmc_full_text,True,"This in vitro assay accurately reflects in vivo findings and relates hepatotoxicity to RNase H1 activity, off-target RNA downregulation, and LNA-ASO-binding affinity.","Generic high-affinity LNA-ASO panel links hepatotoxicity to RNase H1-dependent off-target RNA downregulation; molecule is not a single named therapeutic candidate, so grade C.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject after curator re-read: PMID 29499955; previous accept was too weak/generic for hybridization/mismatch off-target effect in ASO candidate from PMID 29499955. Basis checked: Generic high-affinity LNA-ASO panel links hepatotoxicity to RNase H1-dependent off-target RNA downregulation; molecule is not a single named therapeutic candidate, so grade C."
15,offtarget_evidence,14,siRNA candidate from PMID 29246303,29246303,PMC5675723,10.1016/j.omtn.2017.10.003,Site-Specific Modification Using the 2'-Methoxyethyl Group Improves the Specificity and Activity of siRNAs.,off-target evidence,B,Results > Combination of MOE at Positions 9 and 10 with OMe at Position 14 Diminished or Eliminated Off-Target Effects; paragraph 17,accept,sequence-specific/off-target silencing,True,True,B,0.88,pmc_full_text,True,"When the MOE on the guide strand was combined with OMe at position 14 on the passenger strand, the off-target silencing was almost completely eliminated (Figure 8B).",Full-text dual-luciferase and qPCR assays measured unintended passenger-strand off-target silencing and its reduction by site-specific siRNA modifications.,codex_gpt-5.5_manual_agent,accept,ni_jie,B,
16,offtarget_evidence,15,siRNA candidate from PMID 41897327,41897327,PMC13024069,10.3390/biom16030393,Selective Silencing of TDP-43 P. G376D Mutation Reverses Key Amyotrophic Lateral Sclerosis-Related Cellular Deficits.,sequence-specificity/off-target evidence,B,3. Results > 3.1. Allele-Specific Silencing Reduces TDP-43 Mislocalization in ALS Motor Neurons; paragraph 21,reject,NA,False,True,NA,0.94,pmc_full_text,False,NONE,"Reject under v2: passage supports allele-specific on-target silencing of mutant TDP-43 and cellular phenotype rescue, not observed unintended off-target evidence.",codex_gpt-5.5_manual_agent,accept,ni_jie,C,"Accept C as borderline: PMID 41897327; curator counted sequence-specificity/off-target evidence for siRNA candidate from PMID 41897327 despite v2 exclusion. Low-confidence override; v2 note was: Reject under v2: passage supports allele-specific on-target silencing of mutant TDP-43 and cellular phenotype rescue, not observed unintended off-target evidence."
17,offtarget_evidence,16,siRNA candidate from PMID 41743270,41743270,PMC12930163,10.1016/j.rpth.2026.103366,Allele-selective von Willebrand factor silencing.,sequence-specificity/off-target evidence,C,Summary and Future Perspectives; paragraph 23,reject,NA,False,True,NA,0.96,pmc_full_text,False,NONE,Reject under v2: review/future-perspective passage discusses allele-selective VWF silencing and says off-target effects still need evaluation; no primary measured off-target result.,codex_gpt-5.5_manual_agent,reject,ni_jie,C,Reject: PMID 41743270; Reject under v2: review/future-perspective passage discusses allele-selective VWF silencing and says off-target effects still need evaluation; no primary measured off-target result.
18,offtarget_evidence,17,ASO candidate from PMID 25539920,25539920,PMC4333393,10.1093/nar/gku1343,Sequence-dependent off-target inhibition of TLR7/8 sensing by synthetic microRNA inhibitors.,off-target evidence,C,RESULTS > Sequence-dependent inhibition of human TLR7/8 sensing by AMOs; paragraph 19,accept,experimentally observed off-target effect,True,True,C,0.72,pmc_full_text,True,we observed a strong off-target effect from our non-targeting control,"Synthetic anti-miR oligonucleotide study directly observes sequence-dependent off-target inhibition of TLR7/8 sensing, but context is mainly mechanistic/lab-use so grade C.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject after curator re-read: PMID 25539920; previous accept was too weak/generic for off-target evidence in ASO candidate from PMID 25539920. Basis checked: Synthetic anti-miR oligonucleotide study directly observes sequence-dependent off-target inhibition of TLR7/8 sensing, but context is mainly mechanistic/lab-use so grade C."
19,offtarget_evidence,18,siRNA candidate from PMID 40737088,40737088,PMC12309379,10.1093/nar/gkaf692,Single alkyl phosphonate modification of the siRNA backbone in the seed region enhances specificity and therapeutic profile.,seed-mediated off-target effect,C,Introduction; paragraph 5,accept,seed-mediated transcriptome-level off-target effect,True,True,A,0.93,pmc_full_text,True,"Importantly, differential gene expression (DGE) analysis showed a significant reduction in off-target effects across in vitro and in vivo, leading to an improved therapeutic profile.",Full-text therapeutic-profile siRNA study uses DGE/transcriptome and in vivo safety readouts to show seed-region alkyl phosphonate modification reduces off-target effects.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
20,offtarget_evidence,19,siRNA candidate from PMID 41646886,41646886,PMC12870468,10.1016/j.omtn.2026.102835,2'-Ribose-modified nucleotides: A strategy for reducing off-target effects of oligonucleotide drugs.,seed-mediated off-target effect,C,Discussion; paragraph 27,accept,transcriptome-level off-target effect,True,True,A,0.91,pmc_full_text,True,we conducted strand-specific RNA sequencing (RNA-seq) to quantify off-target effects of siRNAs bearing,Full-text siRNA study uses strand-specific RNA-seq and DEGs to quantify off-target effects of 2-prime modified therapeutic-style siRNAs.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
21,offtarget_evidence,20,siRNA candidate from PMID 39813044,39813044,PMC12522049manuscript-id: NIHMS2116935,10.1021/acschembio.4c00824,Amide Internucleoside Linkages Suppress the MicroRNA-like Off-Target Activity of Short Interfering RNA.,sequence-specificity/off-target evidence,C,Results and Discussion; paragraph 13,accept,seed-mediated off-target effect,True,True,A,0.92,pmc_full_text,True,"Dual luciferase and RT-qPCR assays in HeLa cells showed that, in a model system of unmodified siRNAs, the amide linkage at position 3 (between nucleosides 3 and 4) suppressed cleavage of off-target YY1 and FADD mRNAs similarly to the industry gold standard modification, glycol nucleic acid (GNA).","Full-text DLR, RT-qPCR, and RNA-seq assays measure microRNA-like siRNA off-target cleavage and specificity improvement by amide linkage.",codex_gpt-5.5_manual_agent,accept,ni_jie,A,
22,offtarget_evidence,21,siRNA candidate from PMID 39231537,39231537,PMC11472056,10.1093/nar/gkae741,Synthesis of 2'-formamidonucleoside phosphoramidites for suppressing the seed-based off-target effects of siRNAs.,seed-mediated off-target effect,C,Results and discussion > Genome-wide evaluation of off-target activities; paragraph 77,accept,seed-mediated off-target effect,True,True,B,0.86,pmc_full_text,True,revealed a significant suppression of off-target activity while maintaining on-target RNAi activity.,Passage reports observed suppression of seed-based off-target activity for formamidonucleoside-modified siRNAs; evidence is not tied to a named therapeutic candidate.,codex_gpt-5.5_manual_agent,accept,ni_jie,B,
23,offtarget_evidence,22,siRNA candidate from PMID 35921401,35921401,PMC9389587,10.1021/jacs.2c01679,"Role of a ""Magic"" Methyl: 2'-Deoxy-2'-α-F-2'-β-C-methyl Pyrimidine Nucleotides Modulate RNA Interference Activity through Synergy with 5'-Phosphate Mimics and Mitigation of Off-Target Effects.",seed-mediated off-target effect,C,Results and Discussion > Off-Target Effects of siRNAs Modified with 2′-F/Me; Figure 5 caption,accept,seed-mediated off-target effect,True,True,A,0.90,pmc_full_text,True,placement of the antisense strand at position 7 mitigated seed-based off-target effects in cell-based assays.,Full-text siRNA modification study includes cell-based reporter and RNA-seq evidence that seed-region 2-prime-F/Me modification mitigates off-target effects.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
24,offtarget_evidence,23,siRNA candidate from PMID 35071927,35071927,PMC8771963,10.1021/acsomega.1c06455,siRNA Seed Region Is Divided into Two Functionally Different Domains in RNA Interference in Response to 2'-OMe Modifications.,seed-mediated off-target effect,C,Introduction; paragraph 4,accept,seed-mediated transcriptome-level off-target effect,True,True,B,0.88,pmc_full_text,True,microarray analysis was performed. Unmodified and modified siVIM-270s were transfected into HeLa cells,Full-text mechanistic siRNA study uses reporter assays and microarray analysis to measure seed-region modification effects on genome-wide off-target activity.,codex_gpt-5.5_manual_agent,accept,ni_jie,B,
25,offtarget_evidence,24,siRNA candidate from PMID 35205363,35205363,PMC8872465,10.3390/genes13020319,The siRNA Off-Target Effect Is Determined by Base-Pairing Stabilities of Two Different Regions with Opposite Effects.,seed-mediated off-target effect,C,1. Introduction; paragraph 4,accept,seed-mediated reporter off-target effect,True,True,B,0.86,pmc_full_text,True,"The on-target activities (B) and off-target activities (C) of 26 siRNAs were measured at 0.05, 0.5, 5, and 50 nM siRNA.",Full-text siRNA study uses seed-matched luciferase reporters to measure off-target activities across 26 siRNAs; mechanistic/generic panel supports grade B.,codex_gpt-5.5_manual_agent,accept,ni_jie,C,Grade adjusted B->C: PMID 35205363; weak/generic or abstract-limited support for seed-mediated off-target effect.
26,offtarget_evidence,25,ASO candidate from PMID 34388351,34388351,PMC8713556,10.1089/nat.2020.0921,Transcriptome-Wide Off-Target Effects of Steric-Blocking Oligonucleotides.,hybridization/mismatch off-target effect,C,Introduction; paragraph 4,accept,transcriptome-wide RNA-seq hybridization-dependent off-target splicing/expression,True,True,B,0.94,pmc_full_text,True,"In this study, we used RNA-seq to evaluate the off-target differential splicing events of 81 SBOs and differential expression events of 46 SBOs.",Full-text primary RNA-seq study of administered steric-blocking ASOs/SBOs measuring transcriptome-wide off-target splicing and expression; downgraded because molecule is a panel rather than one named therapeutic oligo.,codex_gpt-5.5_manual_agent,accept,ni_jie,B,
27,offtarget_evidence,26,siRNA candidate from PMID 29450406,29450406,PMC5808362,10.1021/acsomega.7b00291,Chemical Modification of the siRNA Seed Region Suppresses Off-Target Effects by Steric Hindrance to Base-Pairing with Targets.,seed-mediated off-target effect,C,Results and Discussion; paragraph 20,accept,seed-mediated reporter and microarray off-target effect,True,True,A,0.96,pmc_full_text,True,"Microarray analysis was performed to examine the genome-wide off-target effects of siRNAs modified with DNA, PS, 2′-OMe, and LNA (Figure 2b).",Full-text primary siRNA study with reporter assays and microarray measurement of seed-matched off-target effects after siRNA transfection.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
28,offtarget_evidence,27,siRNA candidate from PMID 21687525,21687525,PMC3109444,10.4161/adna.1.1.12204,In vivo efficacy and off-target effects of locked nucleic acid (LNA) and unlocked nucleic acid (UNA) modified siRNA and small internally segmented interfering RNA (sisiRNA) in mice bearing human tumor xenografts.,seed-mediated off-target effect,C,Abstract; paragraph 1,accept,seed-mediated off-target gene regulation in vivo,True,True,A,0.91,pmc_full_text,True,"However, the level of off-target gene regulation in both the tumor and the liver correlated with the increase in efficacy in target knockdown, unless the seed region of the siRNA was modified.",Full-text therapeutic siRNA xenograft study reports measured off-target gene regulation in tumor and liver and links mitigation to seed-region modification.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
29,offtarget_evidence,28,SKP2; Ago2,42040413,PMC13103777,10.1021/acsomega.5c10717,Molecular Dynamics Simulation-Assisted siRNA Design for Dual-Ubiquitinated SKP2 Silencing via Ago2 Anchoring in Breast Cancer.,transcriptome-level off-target effect,A,Results and Discussion > Rational Design and Optimization of siRNA Candidates for Targeted SKP2 Silencing in Breast Cancer; paragraph 30,reject,NA,False,True,NA,0.98,pmc_full_text,False,NONE,Computational/design-only siRNA specificity screen and molecular dynamics/Ago2 modeling; no primary observed off-target effect.,codex_gpt-5.5_manual_agent,reject,ni_jie,C,Reject: PMID 42040413; Computational/design-only siRNA specificity screen and molecular dynamics/Ago2 modeling; no primary observed off-target effect.
30,offtarget_evidence,29,HN1,41732207,PMC12925542,10.1016/j.omtn.2026.102848,"Design, validation, and functional impact of oligonucleotides for multigene silencing in Alzheimer's disease.",transcriptome-level off-target effect,B,Discussion; paragraph 31,reject,NA,False,True,NA,0.93,pmc_full_text,False,NONE,Study concerns intended multigene ASO silencing/on-target functional impact and design rationale; no observed unintended off-target evidence in the passage.,codex_gpt-5.5_manual_agent,reject,ni_jie,C,Reject: PMID 41732207; Study concerns intended multigene ASO silencing/on-target functional impact and design rationale; no observed unintended off-target evidence in the passage.
31,offtarget_evidence,30,unspecified antisense oligonucleotide,42170085,PMC13187762,10.1039/d6ra01942k,"Combinatorial and rational synthesis of complex, base-modified aptamer libraries on microarrays.",transcriptome-level off-target effect,B,Conclusions; paragraph 26,reject,NA,False,False,NA,0.98,pmc_full_text,False,NONE,"Aptamer-library microarray chemistry/binding study, not therapeutic ASO/siRNA off-target biology; microarray is synthesis/binding platform rather than transcriptome off-target assay.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject: PMID 42170085; Aptamer-library microarray chemistry/binding study, not therapeutic ASO/siRNA off-target biology; microarray is synthesis/binding platform rather than transcriptome off-target assay."
32,offtarget_evidence,31,siFmr1,40727077,PMC12303082,10.1016/j.mtbio.2025.102075,FMRP silencing via siRNA lipid nanoparticles to reprogram the tumor microenvironment and enhance anti-PD-1 efficacy in triple-negative breast cancer.,off-target evidence,A,Results and discussion > Limitations and prospects; paragraph 50,reject,NA,False,True,NA,0.97,pmc_full_text,False,NONE,"Passage mentions potential off-target effects requiring future investigation and focuses on tumor targeting, biodistribution, toxicity, and efficacy; no observed off-target result.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject: PMID 40727077; Passage mentions potential off-target effects requiring future investigation and focuses on tumor targeting, biodistribution, toxicity, and efficacy; no observed off-target result."
33,offtarget_evidence,32,ADO2,39934917,PMC11816505,10.1186/s13287-025-04151-6,Development and evaluation of siRNA-mediated gene silencing strategies for ADO2 therapy utilizing iPSCs model and DMPC-SPIONs delivery system.,seed-mediated off-target effect,B,Discussion; paragraph 15,reject,NA,False,True,NA,0.96,pmc_full_text,False,NONE,"Observed result is allele/on-target mutant CLCN7 silencing specificity, while off-target text is background/design discussion; no measured unintended off-target effect.",codex_gpt-5.5_manual_agent,accept,ni_jie,C,"Accept C as borderline: PMID 39934917; curator counted seed-mediated off-target effect for ADO2 despite v2 exclusion. Low-confidence override; v2 note was: Observed result is allele/on-target mutant CLCN7 silencing specificity, while off-target text is background/design discussion; no measured unintended off-target effect."
34,offtarget_evidence,33,HEK293T,40881422,PMC12381747,10.1021/jacsau.5c00422,DNA-Programmable Protein Degradation: Dynamic Control of Proteolysis-Targeting Chimera Activity via DNA Hybridization and Strand Displacement.,off-target evidence,B,Discussion; paragraph 22,reject,NA,False,False,NA,0.97,pmc_full_text,False,NONE,"Oligonucleotide-linked PROTAC control system; off-target concern is PROTAC protein degradation/toxicity, not therapeutic oligonucleotide off-target hybridization or transcriptome evidence.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject: PMID 40881422; Oligonucleotide-linked PROTAC control system; off-target concern is PROTAC protein degradation/toxicity, not therapeutic oligonucleotide off-target hybridization or transcriptome evidence."
35,offtarget_evidence,34,TREM2; PI3K,37566293,PMC10673742,10.1007/s10753-023-01868-5,Grape Seed Proanthocyanidin Ameliorates LPS-induced Acute Lung Injury By Modulating M2a Macrophage Polarization Via the TREM2/PI3K/Akt Pathway.,seed-mediated off-target effect,B,Abstract; paragraph 1,reject,NA,False,False,NA,0.99,pmc_full_text,False,NONE,Grape seed proanthocyanidin/natural product study; no therapeutic oligonucleotide in scope.,codex_gpt-5.5_manual_agent,reject,ni_jie,C,Reject: PMID 37566293; Grape seed proanthocyanidin/natural product study; no therapeutic oligonucleotide in scope.
36,offtarget_evidence,35,CCND1; Drisapersen; Mipomersen,35464859,PMC9019733,10.3389/fgene.2022.791416,"Single Stranded Fully Modified-Phosphorothioate Oligonucleotides can Induce Structured Nuclear Inclusions, Alter Nuclear Protein Localization and Disturb the Transcriptome In Vitro.",transcriptome-level off-target effect,B,Discussion; paragraph 62,accept,observed non-antisense off-target transcriptome/protein-localization effect,True,True,A,0.90,pmc_full_text,True,"Here, we report chemistry-specific effects of oligonucleotides composed of modified or unmodified bases, with phosphorothioate linkages, on subnuclear organelles and show altered distribution of nuclear proteins, the appearance of highly stable and strikingly structured nuclear inclusions, and disturbed RNA processing in primary human fibroblasts and other cultured cells.",Full-text primary study of phosphorothioate antisense oligonucleotides including named clinical AOs reports observed unintended chemistry-specific cellular and transcriptome/RNA-processing effects.,codex_gpt-5.5_manual_agent,accept,ni_jie,A,
37,offtarget_evidence,36,unspecified siRNA,31804057,PMC7354698manuscript-id: NIHMS1599622,10.1021/acs.analchem.9b03811,Dose-Response Metabolomics To Understand Biochemical Mechanisms and Off-Target Drug Effects with the TOXcms Software.,off-target evidence,A,RESULTS AND DISCUSSION > TOXcms Identifies Off-target Effects of Genetic Knockdown.; paragraph 28,reject,NA,False,False,NA,0.99,pmc_full_text,False,NONE,"Off-target effects are for small-molecule drugs/metabolomics software (metformin/etomoxir), not oligonucleotide therapeutics.",codex_gpt-5.5_manual_agent,reject,ni_jie,C,"Reject: PMID 31804057; Off-target effects are for small-molecule drugs/metabolomics software (metformin/etomoxir), not oligonucleotide therapeutics."
38,offtarget_evidence,37,Klf15,32186780,PMC7169954,10.3892/ijmm.2020.4538,Transcriptome analysis of Klf15‑mediated inhibitory functions in a mouse deep venous thrombosis model.,off-target evidence,B,Discussion; paragraph 40,reject,NA,False,False,NA,0.96,pmc_full_text,False,NONE,Klf15 siRNA is used as a laboratory knockdown tool in a thrombosis transcriptome study; cited ASO off-target example is not the primary evidence for this entity.,codex_gpt-5.5_manual_agent,reject,ni_jie,C,Reject: PMID 32186780; Klf15 siRNA is used as a laboratory knockdown tool in a thrombosis transcriptome study; cited ASO off-target example is not the primary evidence for this entity.
