pmid,source_type,reuse_category,license_status,priority,query_label,score,title,journal,publication_year
37364105,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,The Rho guanine dissociation inhibitor α inhibits skeletal muscle Rac1 activity and insulin action.,Proc Natl Acad Sci U S A,2023
37359561,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Targeted chitosan nanobubbles as a strategy to down-regulate microRNA-17 into B-cell lymphoma models.,Front Immunol,2023
37356504,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,G9a and DNMT1 inhibition modulates CDKN1A promoter methylation and the cell cycle leading to improvement in kidney fibrosis.,Biochim Biophys Acta Gen Subj,2023
37356281,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,mRNA-1273 SARS-CoV-2 vaccine in recently transplanted allogeneic hematopoietic cell transplant recipients: Dynamics of cellular and humoral immune responses and booster effect.,Leuk Res,2023
37350189,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Nanofluidic Aptamer Nanoarray to Enable Stochastic Capture of Single Proteins at Normal Concentrations.,Small,2023
37349699,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,PagMYB151 facilitates proline accumulation to enhance salt tolerance of poplar.,BMC Genomics,2023
37348587,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Retinoid X receptor 1 is a specific lethal RNAi target disturbing chitin metabolism during hatching of Tetranychus cinnabarinus.,Int J Biol Macromol,2023
37341722,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Controlling the G-Quadruplex Topology: Toward the Formation of a Lipid Thrombin Binding Aptamer Prodrug.,Bioconjug Chem,2023
37341540,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Mesoporous Polydopamine-Encapsulated Fluorescent Nanodiamonds: A Versatile Platform for Biomedical Applications.,ACS Appl Mater Interfaces,2023
37340188,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,Psychosocial effects of the corona pandemic on people with cancer: a qualitative study.,J Cancer Res Clin Oncol,2023
37330462,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,Identification of necroptosis-related gene TRAF5 as potential target of diagnosing atherosclerosis and assessing its stability.,BMC Med Genomics,2023
37326832,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,A sensitive electrochemical aptasensor for zearalenone detection based on target-triggered branched hybridization chain reaction and exonuclease I-assisted recycling.,Anal Bioanal Chem,2023
37326345,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Nucleic acid aptamer-based biosensors and their application in thrombin analysis.,Bioanalysis,2023
37316455,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,Inclisiran and lipoprotein apheresis in statin intolerance heterozygous FH patients: A case series.,Ther Apher Dial,2023
37314225,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,A Versatile Strategy of Designing Gold Nanoparticle-cDNA Nanoprobes in Developing Aptamer-Based Lateral Flow Assay for Small-Molecule Detection.,Langmuir,2023
37312752,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Physiological and transcriptomic analysis of OsLHCB3 knockdown lines in rice.,Mol Breed,2023
37310994,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_offtarget_transcriptome_2023_2026,0,Implementation of hybrid optimized battery controller and advanced power management control strategy in a renewable energy integrated DC microgrid.,PLoS One,2023
37300508,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Magnetically Detected Protein Binding Using Spin-Labeled Slow Off-Rate Modified Aptamers.,ACS Sens,2023
37294893,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,Chemerin is resident to vascular tunicas and contributes to vascular tone.,Am J Physiol Heart Circ Physiol,2023
37294468,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Epigenomics in stress tolerance of plants under the climate change.,Mol Biol Rep,2023
37290980,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,High levels of lipoprotein(a) in transgenic mice exacerbate atherosclerosis and promote vulnerable plaque features in a sex-specific manner.,Atherosclerosis,2023
37284446,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,The STAT1/HMGB1/NF-κB pathway in chronic inflammation and kidney injury after cisplatin exposure.,Theranostics,2023
37282500,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,Plain language summary of results from ORION-10 and ORION-11: two studies to learn how well inclisiran works in people with high cholesterol.,Future Cardiol,2023
37274069,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Calcitriol attenuates liver fibrosis through hepatitis C virus nonstructural protein 3-transactivated protein 1-mediated TGF β1/Smad3 and NF-κB signaling pathways.,World J Gastroenterol,2023
37269649,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,Stress regulation of WFS1 and PERK-p-eIF2α-ATF4 signaling pathway in placental tissue cells of intrahepatic cholestasis of pregnancy.,Placenta,2023
37268884,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,Effects of the factor Xa inhibitor rivaroxaban on the differentiation of endothelial progenitor cells.,BMC Cardiovasc Disord,2023
37267624,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Customized Scaffolds for Direct Assembly of Functionalized DNA Origami.,ACS Appl Mater Interfaces,2023
37263558,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Effect of chlorpyrifos on VEGF gene expression.,Chem Biol Interact,2023
37258566,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Pak1 pathway hyper-activation mediates resistance to endocrine therapy and CDK4/6 inhibitors in ER+ breast cancer.,NPJ Breast Cancer,2023
37253281,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Long-term effects of volanesorsen on triglycerides and pancreatitis in patients with familial chylomicronaemia syndrome (FCS) in the UK Early Access to Medicines Scheme (EAMS).,Atherosclerosis,2023
37251692,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_offtarget_transcriptome_2023_2026,0,Modified ASO conjugates encapsulated with cytidinyl/cationic lipids exhibit more potent and longer-lasting anti-HCC effects.,Mol Ther Nucleic Acids,2023
37248637,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Gm527 deficiency in dentate gyrus improves memory through upregulating dopamine D1 receptor pathway.,CNS Neurosci Ther,2023
37244630,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,SUMO1 Modification Stabilizes TET3 Protein and Increases Colorectal Cancer Radiation Therapy Sensitivity.,Int J Radiat Oncol Biol Phys,2023
37244121,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Fast and slow releasing sulphide donors engender distinct transcriptomic alterations in Atlantic salmon hepatocytes.,Aquat Toxicol,2023
37242702,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Evaluation of Poly(N-Ethyl Pyrrolidine Methacrylamide) (EPA) and Derivatives as Polymeric Vehicles for miRNA Delivery to Neural Cells.,Pharmaceutics,2023
37242692,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Advances and Challenges of Stimuli-Responsive Nucleic Acids Delivery System in Gene Therapy.,Pharmaceutics,2023
37238946,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,oligo_drug_discovery_safety_review_2020_2026,0,RNA Therapeutics: A Healthcare Paradigm Shift.,Biomedicines,2023
37232893,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,In-Situ Fabrication of Electroactive Cu(2+)-Trithiocyanate Complex and Its Application for Label-Free Electrochemical Aptasensing of Thrombin.,Biosensors (Basel),2023
37231695,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Endovascular therapy outcome in isolated posterior cerebral artery occlusion strokes: A multicenter analysis of the Swiss Stroke Registry.,Eur Stroke J,2023
37230224,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_offtarget_transcriptome_2023_2026,0,A wave of deep intronic mutations in X-linked Alport syndrome.,Kidney Int,2023
37225674,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sirna_clinical_safety_2023_2026,0,The role of bacterial infections in rheumatoid arthritis development and novel therapeutic interventions: Focus on oral infections.,J Clin Lab Anal,2023
37223095,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,An essential role of adenosine deaminase acting on RNA 1 in coeliac disease mucosa.,Front Immunol,2023
37219994,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sso_splice_oligo_safety_2020_2026,0,"Duchenne Muscular Dystrophy Gene Therapy in 2023: Status, Perspective, and Beyond.",Hum Gene Ther,2023
37216819,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,"Novel morphological mono-metallic substituted polyoxometalate immobilized 3-(aminopropyl)-imidazole photocatalysts for visible-light driven degradation: Anti-bacterial activity, membrane bacterial activity applications.",Spectrochim Acta A Mol Biomol Spectrosc,2023
37215148,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_offtarget_transcriptome_2023_2026,0,LncRNA ZNF593-AS alleviates diabetic cardiomyopathy via suppressing IRF3 signaling pathway.,Mol Ther Nucleic Acids,2023
37215013,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sso_splice_oligo_safety_2020_2026,0,Elevated nuclear TDP-43 induces constitutive exon skipping.,bioRxiv,2023
37214870,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Deletion of miR-146a enhances therapeutic protein restoration in model of dystrophin exon skipping.,bioRxiv,2023
37209558,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Two-dimensional material-enhanced surface plasmon resonance for antibiotic sensing.,J Hazard Mater,2023
37208130,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,Dual TLR9 and PD-L1 targeting unleashes dendritic cells to induce durable antitumor immunity.,J Immunother Cancer,2023
37207608,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Mismatched duplexed aptamer-isothermal amplification-based nucleic acid-nanoflower for fluorescent detection of okadaic acid.,Food Chem,2023
37207518,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Single-cell RNA seq identifies Plg-R(KT)-PLG as signals inducing phenotypic transformation of scar-associated macrophage in liver fibrosis.,Biochim Biophys Acta Mol Basis Dis,2023
37204482,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Bioorthogonally Activatable Autophagy-Tethering Compounds for Aptamer-Guided Mitochondrial Degradation.,Nano Lett,2023
37204115,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Repurposing CRISPR/Cas to Discover SARS-CoV-2 Detecting and Neutralizing Aptamers.,Adv Sci (Weinh),2023
37203277,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Remodeling Serine Synthesis and Metabolism via Nanoparticles (NPs)-Mediated CFL1 Silencing to Enhance the Sensitivity of Hepatocellular Carcinoma to Sorafenib.,Adv Sci (Weinh),2023
37201874,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,"Targeted and functional genomics approaches to the mechanism of action of lagunamide D, a mitochondrial cytotoxin from marine cyanobacteria.",Biochem Pharmacol,2023
37195939,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Parameterization of the miniPEG-Modified γPNA Backbone: Toward Induced γPNA Duplex Dissociation.,J Chem Theory Comput,2023
37194523,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sso_splice_oligo_safety_2020_2026,0,[Drugs for Genetic Myopathy].,Brain Nerve,2023
37194505,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,[Recent Advances in Novel Therapies for Neurological Diseases: An Overview and Future Scope].,Brain Nerve,2023
37178600,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,A dual-mode ratiometric aptasensor for accurate detection of pathogenic bacteria based on recycling of DNAzyme activation.,Food Chem,2023
37176113,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Alpha-Deoxyguanosine to Reshape the Alpha-Thrombin Binding Aptamer.,Int J Mol Sci,2023
37175900,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,PD-L1 Exon 3 Is a Hidden Switch of Its Expression and Function in Oral Cancer Cells.,Int J Mol Sci,2023
37175747,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,"OsMADS1 Regulates Grain Quality, Gene Expressions, and Regulatory Networks of Starch and Storage Protein Metabolisms in Rice.",Int J Mol Sci,2023
37174727,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Embryonic Ethanol but Not Cannabinoid Exposure Affects Zebrafish Cardiac Development via Agrin and Sonic Hedgehog Interaction.,Cells,2023
37168537,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sso_splice_oligo_safety_2020_2026,0,Genome-wide transcriptomic analysis identifies candidate genes involved in jasmonic acid-mediated salt tolerance of alfalfa.,PeerJ,2023
37163255,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,Developments in pharmacotherapeutic agents for hepatitis B - how close are we to a functional cure?,Expert Opin Pharmacother,2023
37161507,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Silencing SlPP2C expression delayed plant senescence and fruit ripening in tomato.,Physiol Plant,2023
37160224,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Proteomics of wheat and barley cereals in response to environmental stresses: Current state and future challenges.,J Proteomics,2023
37159224,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Triple-Stranded DNA As a Structural Element in DNA Origami.,ACS Nano,2023
37158381,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Self-constrained DNAzyme for aptamer-based and sensitive label-free fluorescent assay of sarafloxacin via signal amplification cascades.,Analyst,2023
37149147,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Kinetic analysis of RNA cleavage by coronavirus Nsp15 endonuclease: Evidence for acid-base catalysis and substrate-dependent metal ion activation.,J Biol Chem,2023
37147890,literature_discovery,derived_annotations_only,abstract_metadata_only,core,chemical_modification_oligo_safety_2023_2026,0,A single ascending dose study of single-stranded oligodeoxyribonucleotide RO7062931 in Chinese healthy volunteers.,Clin Transl Sci,2023
37146819,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,A sublethal dose of neonicotinoid imidacloprid precisely sensed and detoxified by a C-minus odorant-binding protein 17 highly expressed in the legs of Apis cerana.,Sci Total Environ,2023
37145207,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,ASO Author Reflections: Characteristics of the Relationship Between IL-6 Levels and Tumor Microenvironment in Patients with Colorectal Cancer.,Ann Surg Oncol,2023
37138615,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Transcriptomic alterations in the sweet orange vasculature correlate with growth repression induced by a variant of citrus tristeza virus.,Front Microbiol,2023
37130452,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Ultrasensitive fluorescence sensor for Hg(2+) in food based on three-dimensional upconversion nanoclusters and aptamer-modulated thymine-Hg(2+)-thymine strategy.,Food Chem,2023
37122688,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_safety_broad_2010_2026,0,Hepatocyte mARC1 promotes fatty liver disease.,JHEP Rep,2023
37121518,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,"A bionic ""Trojan horse""-like gene delivery system hybridized with tumor and macrophage cell membrane for cancer therapy.",J Control Release,2023
37121412,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Outer fold is sole effective tissue among three mantle folds with regard to oyster shell colour.,Int J Biol Macromol,2023
37117194,literature_discovery,derived_annotations_only,abstract_metadata_only,core,chemical_modification_oligo_safety_2023_2026,0,An aptamer-based depot system for sustained release of small molecule therapeutics.,Nat Commun,2023
37116752,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,News at XI: moving beyond factor Xa inhibitors.,J Thromb Haemost,2023
37114828,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_immune_complement_safety_2023_2026,0,Recent advances in treating hypertriglyceridemia in patients at high risk of cardiovascular disease with apolipoprotein C-III inhibitors.,Expert Opin Pharmacother,2023
37110155,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Targeted Metabolomics of Organophosphate Pesticides and Chemical Warfare Nerve Agent Simulants Using High- and Low-Dose Exposure in Human Liver Microsomes.,Metabolites,2023
37106439,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,"Zebrafish ambra1b knockout reveals a novel role for Ambra1 in primordial germ cells survival, sex differentiation and reproduction.",Biol Res,2023
37104842,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Transcriptomics Reveals the Killing Mechanism by Which Entomopathogenic Fungi Manipulate the RNA Expression Profiles of Termites and Provides Inspiration for Green Pest Management.,J Agric Food Chem,2023
37100169,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,oligo_drug_discovery_safety_review_2020_2026,0,Applications of Anti-CRISPR Proteins in Genome Editing and Biotechnology.,J Mol Biol,2023
37099179,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sso_splice_oligo_safety_2020_2026,0,Production of MSTN knockout porcine cells using adenine base-editing-mediated exon skipping.,In Vitro Cell Dev Biol Anim,2023
37098245,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Enzyme-Linked Immunosorbent Assay-Based Microarray on a Chip for Bioaerosol Sensing: Toward Sensitive and Multiplexed Profiling of Foodborne Allergens.,Anal Chem,2023
37097282,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Detection of saxitoxin by a SERS aptamer sensor based on enzyme cycle amplification technology.,Analyst,2023
37096555,literature_discovery,derived_annotations_only,abstract_metadata_only,core,chemical_modification_oligo_safety_2023_2026,0,Emerging drugs for hepatitis D.,Expert Opin Emerg Drugs,2023
37094656,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_offtarget_transcriptome_2023_2026,0,Frequency of HER2 protein overexpression and HER2 gene amplification in endometrial clear cell carcinoma.,Hum Pathol,2023
37093131,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_thrombocytopenia_complement_2020_2026,0,Positive Allosteric Modulation of Antithrombin's Inhibitory Activity by RNA Aptamers.,Nucleic Acid Ther,2023
37092689,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_chemistry_toxicity_mechanism_2020_2026,0,Discovery of Three Organothiophosphate Esters in River Water Using High-Resolution Mass Spectrometry.,Environ Sci Technol,2023
37080904,literature_discovery,derived_annotations_only,abstract_metadata_only,core,oligo_sequence_dependent_toxicity_2020_2026,0,Simultaneous Dual-Sensing Platform Based on Aptamer-Functionalized DNA Hydrogels for Visual and Fluorescence Detection of Chloramphenicol and Aflatoxin M1.,Bioconjug Chem,2023
37078211,literature_discovery,derived_annotations_only,abstract_metadata_only,secondary,sso_splice_oligo_safety_2020_2026,0,[Chinese multidisciplinary expert consensus on the management of adverse drug reactions associated with savolitinib].,Zhonghua Zhong Liu Za Zhi,2023
37078141,literature_discovery,derived_annotations_only,abstract_metadata_only,core,sirna_seed_toxicity_broad_2020_2026,0,Circular RNA circTNIK promotes tumor progression and metastasis in gastric cancer by regulating ZEB2.,J Gastroenterol Hepatol,2023
37078062,literature_discovery,derived_annotations_only,abstract_metadata_only,core,aso_offtarget_transcriptome_2023_2026,0,Self-transfecting GMO-PMO chimera targeting Nanog enable gene silencing in vitro and suppresses tumor growth in 4T1 allografts in mouse.,Mol Ther Nucleic Acids,2023
