id,molecule_id,molecule_canonical_name,intended_target_gene,evidence_grade,source_document_id,source_location,old_offtarget_gene_symbol,new_offtarget_gene_symbol,old_offtarget_transcript_id,new_offtarget_transcript_id,decision_rule,grounding_quote
13,100,ASO candidate from PMID 36229039,,B,2306,RESULTS > INRI-seq identifies direct PNA off-targets; paragraph 50,,unspecified,,,no_match,"Next, we set out to use INRI-seq to study the global effects of acpP-PNA on translation of its intended target as well as potential off-targets."
15,102,siRNA candidate from PMID 29246303,,B,4230,Results > Combination of MOE at Positions 9 and 10 with OMe at Position 14 Diminished or Eliminated Off-Target Effects; paragraph 17,,unspecified,,,no_match,"When the MOE on the guide strand was combined with OMe at position 14 on the passenger strand, the off-target silencing was almost completely eliminated (Figure 8B)."
16,126,siRNA candidate from PMID 41897327,,B,5621,3. Results > 3.1. Allele-Specific Silencing Reduces TDP-43 Mislocalization in ALS Motor Neurons; paragraph 21,,unspecified,,,no_quote,NONE
33,212,ADO2,,B,3759,Discussion; paragraph 15,,unspecified,,,no_quote,NONE
36,215,CCND1; Drisapersen; Mipomersen,,B,2210,Discussion; paragraph 62,,unspecified,,,no_match,"Here, we report chemistry-specific effects of oligonucleotides composed of modified or unmodified bases, with phosphorothioate linkages, on subnuclear organelles and show altered distribution of nuclear proteins, the appearance of highly stable and strikingly structured nuclear inclusions, and disturbed RNA processing in primary human fibroblasts and other cultured cells."
40,218,SPC2996; PC3; CaCo2,,A,2845,RESULTS AND DISCUSSION > Gene silencing by gymnotic delivery is a general phenomenon; paragraph 15,,TUBULIN;PKC;SURVIVIN;MCL-1;BCL-XL,,,explicit,"As seen in these western blots, no changes in the expression of Bcl-xL, tubulin, Mcl-1, PKC-α or survivin proteins were observed."
42,253,TNRC6; GW182; AGO2,,B,1011,PubMed abstract,,AGO4;AGO1;AGO2,,,explicit,"We demonstrate that knocking down AGO2, but not AGO1 or AGO4, is protective against GalNAc-siRNA-driven off-target activity and hepatotoxicity."
44,186,unspecified antisense oligonucleotide,,B,2193,PubMed abstract,,transcriptome-wide,,,tx_wide,"We conducted ultraviolet (UV) melting experiments, RNase H cleavage assays, in vitro knockdown assays, and off-target transcriptome analyses using DNA microarrays."
47,186,unspecified antisense oligonucleotide,,B,2216,PubMed abstract,,transcriptome-wide,,,tx_wide,METHODS: We extend recent studies by investigating the off-target profile of two 17-mer antisense oligonucleotides in two distinct human cell lines by a whole-transcriptome study using RNA sequencing.
49,256,siF12; siF12-A; siF12-AC9,,B,12115,PubMed abstract,,unspecified,,,no_match,As this change in coagulation was unrelated to FXII we conclude that it was off-target.
50,257,Malat1-targeting,,B,12059,PubMed abstract,,transcriptome-wide,,,tx_wide,"Transcriptome analysis indicated that nontoxic gapmers do not cleave off-target RNAs, although they have many target-like RNA sequences."
51,328,ARL4C; ARL4C-targeting; CP8,,B,1037,PubMed abstract,,transcriptome-wide,,,tx_wide,"ASO-2025-A/L downregulated 317 genes, which were confirmed by RNA-sequence analysis, the majority was involved in cell adhesion pathways downstream of ARL4C signaling, and only two genes corresponded to off-target genes."
56,370,PDIA3; oblimersen,,B,2270,PubMed abstract,,unspecified,,,no_match,"Regardless of their target, phosphorothioate-modified antisense and siRNA compounds, but not oligonucleotides with a phosphodiester backbone, resulted in a similar impact on the proteome."
59,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,1824,RESULTS > RNP delivery reduces transcriptome-wide off-target editing; paragraph 22,,transcriptome-wide,,,tx_wide,"Further, we demonstrate that a covalent adenosine deaminase-ASO “RNP” conjugate formed in the test tube and delivered by lipofection achieves targeted and efficient RNA editing with dramatically lower transcriptome-wide off-target editing as compared to ectopically expressed RNA editing enzymes."
60,434,siRNA-based,,A,9324,Results > Minimal off-target activity of GalNAc-siCIDEB; paragraph 8,,transcriptome-wide,,,tx_wide,"To evaluate the off-target effects of GalNAc-siCIDEB, we first conducted whole-transcriptome RNA sequencing (RNA-seq) analysis in primary rat hepatocytes."
62,435,siRNAs,,A,2309,RESULTS > Impact of GNA isonucleotides on GalNAc-siRNA in vitro activity; paragraph 49,,unspecified,,,no_match,"GalNAc-siRNAs containing these GNA isonucleotides showed an improved in vitro activity, a similar improvement in off-target profile, and maintained in vivo activity and guide strand liver levels more consistent with the parent siRNAs than those modified with isomeric GNA-C or -G, thereby expanding our toolbox for the design of siRNAs with minimized off-target activity."
63,435,siRNAs,,A,12558,Results > Transcriptome-wide analyses of mi/siRNAs targeting E6/E7; paragraph 17,,unspecified,,,no_quote,NONE
64,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,4213,Results > Di-siRNA modulates HTT expression with minimal off-target events; paragraph 33,,transcriptome-wide,,,tx_wide,"To determine if HTT silencing or Di-siRNA treatment had any major effect on the transcriptome, we performed genome-wide RNA sequencing (RNA-seq), comparing Di-siRNAHTT-treated to naïve NHP brains. We analyzed three cortical replicates from each of 8 animals (4 naïve, 4 treated). We chose to analyze the cortex, because we observed the highest accumulation of Di-siRNA in this region. Therefore, the chances of seeing off-target effects would be maximized."
65,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,2060,RESULTS > Hybridization-dependent toxicity is not likely to account for the 2′ F PS-ASO-induced hepatotoxicity; Figure 5. caption,,DBHS,,,explicit,"The observed effects were not likely due to the hybridization-dependent RNase H1 cleavage of on- or potential off-target RNAs, or due to potential toxicity of 2′ F nucleoside metabolites. Instead, we found that 2′ F PS-ASO associated with more intra-cellular proteins including proteins from DBHS family. Our results suggest that protein-binding correlates positively with the 2′ F modification-dependent loss of DBHS proteins and the toxicity of gapmer 2′ F PS-ASO in vivo."
66,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,2064,Results > High Confirmation Rate of In Silico Predicted OTEs in Mouse Liver; paragraph 14,,transcriptome-wide,,,tx_wide,"Furthermore, to study the underlying mechanisms of liver toxicity, we applied transcriptome profiling and pathway analyses and show that adverse in vivo liver phenotypes correlate with the number of potent, hybridization-mediated off-target effects (OTEs)."
67,438,LNA ASO,,A,2062,RESULTS > Hepatotoxicity of LNA ASOs is RNase H1 dependent; paragraph 35,,unspecified,,,no_match,"We observed highly selective transcript knockdown in mice treated with non-hepatotoxic LNA ASOs, while the levels of many unintended transcripts were reduced in mice treated with hepatotoxic LNA ASOs."
73,441,designated ASO,,B,1453,PubMed abstract,,unspecified,,,no_match,"In rats, off-target toxicity (not attributable to hybridization) was observed after weekly intra-abdominal administration of ASO-4733."
78,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,1035,Results > ASO off-target RNA reduction correlates well with off-target protein reduction in HepG2 cells; paragraph 48,,unspecified,,,no_match,"Furthermore, many OffT effects observed at the RNA level do not directly translate to corresponding protein level changes."
82,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,1732,Results > IGF2BP2 Knockdown promotes ferroptosis in HNSCC via reduced NRF2 mRNA stability; paragraph 10,,transcriptome-wide,,,tx_wide,"To assess siRNA specificity, we performed seed-based 3′UTR off-target prediction and integrated it with the RNA-seq dataset; no enrichment of predicted off-target transcripts among genes with significantly downregulated expressions was observed."
91,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,3301,Results > Screening of SNA-modified siRNAs targeting CAG repeats; paragraph 8,,unspecified,,,no_quote,NONE
113,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,1477,Results > In silico off-target analysis and qPCR validation; paragraph 10,,unspecified,,,no_match,"Subsequently, the knockdown efficiency of candidate siRNAs on these potential off-target genes was individually verified through in-vitro qPCR. Most candidate siRNAs exhibited little potential off-target effects on those genes (Figures S10 and S11). However, two siRNAs, si098-DV29P and si086-DV26P, exerted relatively strong inhibition on their potential off-target genes (Figures S10B and S10E), suggesting that measures should be taken to prevent and control the off-target risk."
115,435,siRNAs,,A,1788,2. Results > 2.4. Gene Silencing Effect of Chemically Modified siRNAs; paragraph 14,,IFIT1;OAS1;ISG20,,,explicit,"However, siRNA 27 treatment led to increased expression of IFIT1 (Figure 7A) and OAS1 (Figure 7B), and siRNA 30 induced elevated expression of IFIT1 (Figure 7A), OAS1 (Figure 7B), and ISG20 (Figure 7D)."
116,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,1789,Results > Characterization of off-target activities of bsYW-61; paragraph 14,,unspecified,,,no_match,"bsYW-61 reduced luciferase activity in the guide strand seed reporter, confirming seed-mediated off-target effects (Figure 6I). In contrast, modified bsYW-61m1 showed no such activity, suggesting that the chemical modification effectively abolished these interactions."
135,468,siNTC,,A,8415,Results > Transcriptomic analyses of BHF7-transfected vSMCs demonstrates expected changes to known SMILR regulated genes without apparent toxic effect; paragraph 43,,transcriptome-wide,,,tx_wide,"We further demonstrate using RNA-sequencing that BHF7 down-regulates the expression of genes associated with proliferation and does not induce the expression of interferon or apoptosis genes, suggesting it has a favorable safety profile, both on- and off-target."
144,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,B,9881,Abstract; paragraph 1,,unspecified,,,no_match,Activation of the interferon response may cause non-specific inhibition of gene expression and could explain the observed non-specific effects of in vitro transcribed pri-miR-31 sequences.
157,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,1592,Results; paragraph 9,,transcriptome-wide,,,tx_wide,"To determine whether combination treatment exacerbates the off-target effects of the individual compounds, we performed RNA-Seq on transcripts isolated from cells treated with LoA + R and LoA + B (Figure 2A and B)."
164,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,10539,Results > PH-762 is a stabilized self-delivering siRNA compound designed to potently silence PDCD1 mRNA with high specificity; paragraph 10,,GRAMD4,,,explicit,"The in silico predictions were confirmed experimentally in CD3/CD28 bead-activated human pan T cells, where no off-target silencing GRAMD4 mRNA was observed, such that an IC50 for PH-762 toward GRAMD4 mRNA could not be determined"
188,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,14112,Results > Transcriptomics and proteomics analysis of modified CT102s; paragraph 23,,LGALS2;POLA2;GAS2,,,explicit,"Also, they could interact with other mRNAs via imperfect matches (such as GAS2, POLA2, and LGALS2), thereby downregulating the expression of the related proteins and jointly inducing the apoptotic process of tumor cells (Table S4)."
190,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,14301,Results > Off-target effect analysis; paragraph 18,,transcriptome-wide,,,tx_wide,"As the RNA-seq results demonstrated, the off-target rate of si-S1A3-Chol was less than that of naked siRNA, which usually ranges from 5% to 80%."
193,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,2253,RESULTS > Indirect FXN activation is unlikely to be mediated by a mutual hybridization-dependent off-target transcript; paragraph 49,,transcriptome-wide,,,tx_wide,"RNA sequencing analyses showed that the two ASOs induced similar transcriptome-wide changes, which did not resemble the transcriptome of wild-type cells."
207,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,2770,Results > ASOs targeting human mRNAs can also induce a type I IFN response in cultured THP1 cells; paragraph 31,,transcriptome-wide,,,tx_wide,"RNA-seq analysis of gWAT showed a widespread increase in type I interferon (IFN)-responsive genes, and knockout of the IFN receptor abolished the weight loss phenotype induced by the T39 ASO."
217,986,"unspecified ASO (v1 extraction artefact, pending source re-verification)",,A,12621,"Results > QR-110 Treatment Reduces Aberrant Splicing, Increases Wild-Type CEP290 in Homozygous Retinal Organoids, and Shows No Off-Target Pharmacology; paragraph 15",,transcriptome-wide,,,tx_wide,"We also performed RNA-sequencing (RNA-seq) to complement this sequence homology-based study with an unbiased approach and identify other potential hybridization-dependent off-targets. Transcriptome analysis was performed to assess the hybridization-dependent off-target effects using two untreated and two 1 μM QR-110-treated LCA10 retinal organoids. This dose was selected because it was effective at suppressing exon X (Figure 3), suggesting effective hybridization and blocking activity, but it did not significantly increase CEP290 26-27 mRNA (Figure 3F). Therefore, increased levels of CEP290 mRNA, such as those observed at higher concentrations of QR-110, which could have wider, downstream “on-target” effects, would not confound the identification of genuine “off-target” effects. Using a 2-fold change as a cutoff, 44 differentially expressed genes were identified, but none has complementarity to QR-110 (Table S8). This number of differential genes in QR-110-treated organoids is similar to transcriptome changes observed for other antisense oligonucleotides and small-molecule drugs.27 Importantly, none of the seven downregulated genes have been associated with retinal dysfunction. In combination with the selected gene analyses, these data suggest QR-110 does not have any major off-target activity."
220,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,A,2061,Results > Off-target knockdown by the Acsl1 gapmer; paragraph 15,,transcriptome-wide,,,tx_wide,"Microarray analysis revealed that several pre-mRNAs containing a sequence similar to the gapmer target were also knocked down. These results suggest that hepatotoxicity of LNA gapmer is caused by RNAseH1 activity, presumably because of off-target cleavage of RNAs inside nuclei."
222,987,"unspecified PMO (v1 extraction artefact, pending source re-verification)",,A,15206,Results; paragraph 9,,transcriptome-wide,,,tx_wide,"RNA-seq analysis of FM10 myotube cultures from the two unaffected first-degree relatives provides another view of off-target effects, unclouded by DUX4 target genes, as unaffected cells express little if any DUX4-fl. For these cells, only three genes differed significantly between FM10 and the control PMO (P-value < 10–4), and this is roughly what one expects by chance when testing ~37,000 genes for differential expression, even if the null hypotheses of equal expression are all true (Figure 2c). No genes had P-value < 10−5 or false discovery rate < 0.72. Thus we observed no clear off-target effects of FM10 based on these samples."
229,985,"unspecified siRNA (v1 extraction artefact, pending source re-verification)",,B,1209,PubMed abstract,,unspecified,,,no_match,"However, the MC3-based LNP-siRNA (MC3 LNP-siRNA) treatment elicited the least off-target immune activation, with no induction of interferon stimulated genes. Additionally, the MC3 LNP-siRNA remained effective when administered 24 h post-infection, significantly reducing viral RNA levels in vitro. Chemical modification of siRNA with 2'‑O‑methyl incorporation further attenuated immune activation, without compromising efficacy."
275,299,nusinersen,,B,28702,PubMed abstract,,unspecified,,,no_quote,NONE
331,778,F7-1 siRNA,,B,15845,Results > Enrichment analysis of seed region matches in F7-1 off-target genes; paragraph 13,,unspecified,,,no_quote,NONE
333,780,ATXN3-AON,,B,1442,Results > Hybridization-dependent off-target splicing events do not play a major role after transfection; paragraph 19,,transcriptome-wide,,,tx_wide,"In this study, we used three different splice-switching AONs targeting three different human transcripts to study their transcriptome-wide, hybridization-dependent off-target effects with short read RNAseq."
334,781,modified duplex,,B,1031,Results > In vitro gene silencing of modified siRNA containing SNA modifications; paragraph 28,,unspecified,,,no_match,"The greatest impact of SNA modification was observed when included at position g7 in si-50, with a relative off-target IC50 increase of ~260-fold over the parent si-47."
337,782,UNA-T siRNA,,B,15362,RESULTS > Global off-target analysis; paragraph 23,,unspecified,,,no_quote,NONE
338,783,siCD46 siRNA,,B,15336,RESULTS > Comparison of site-specific alterations in siRNA or target sequence; paragraph 15,,unspecified,,,no_quote,NONE
339,784,BTK siRNA,,B,20894,RESULTS > A 7 nt complementation between the original GRK4(O)/BTK(O) siRNAs and the hif-1α mRNA triggers the degradation of hif-1α mRNA; paragraph 15,,unspecified,,,no_quote,NONE
340,785,GR18-3 ASO,,B,28684,Results > Comparative Analysis of Off-Target Effects; paragraph 23,,unspecified,,,no_quote,NONE
343,788,SOD-1,,B,31422,Results > Higher order structure of the SOD-1 minigene mRNA significantly influences ASO binding; paragraph 27,,unspecified,,,no_quote,NONE
344,789,VIR-2218,,B,1411,RESULTS > Application of ESC+ design to improve the specificity and safety of ALN-HBV; paragraph 46,,unspecified,,,no_match,"We found that the ESC+ version of ALN-HBV, named ALN-HBV02, with a single GNA substitution at position 6 of the guide strand, and without any further changes in sequence or chemistry, minimizes off-target dysregulation without compromising on-target activity."
345,790,siRNA-5,,B,2058,Results > siRNA off-targets are enriched for seed complementarity; paragraph 17,,transcriptome-wide,,,tx_wide,"Consistent with these data, global transcriptome profiling by RNAseq shows RISC loading-dependent downregulation of RNAs enriched for a seed match to the antisense but not the sense strand of GalNAc-siRNAs."
346,791,LNA-PS ASO,,B,2813,RESULTS > Intronic regions are markedly more susceptible to ASO-silencing than exonic sequence; paragraph 24,,unspecified,,,no_match,We demonstrate in vitro mRNA and protein knockdown of off-targets with a wide range of mismatch (MM) and gap patterns.
348,793,siRNA-604,,B,15837,RESULTS > Rational design of allele-specific siRNA using the mismatch discrimination model as a guide; paragraph 20,,unspecified,,,no_quote,NONE
351,796,siVIM-270,,B,1157,Results > RNAi and off-target activities of siRNAs with chemical modifications; paragraph 10,,transcriptome-wide,,,tx_wide,The effects on off-target genes were validated by microarray and RT-qPCR analyses.
355,800,DM1,,B,1481,Results > The repeat-blocking ASO and both gapmers lead to downregulation of DMPK RNA; paragraph 8,,transcriptome-wide,,,tx_wide,"by performing RNA sequencing (RNA-seq) for cells after ASO treatment, we assessed both on- and off-target effects of the ASOs on a transcriptome-wide level."
364,809,siCdc2,,B,4230,Results > Combination of MOE at Positions 9 and 10 with OMe at Position 14 Diminished or Eliminated Off-Target Effects; paragraph 17,,unspecified,,,no_match,"When the MOE on the guide strand was combined with OMe at position 14 on the passenger strand, the off-target silencing was almost completely eliminated (Figure 8B)."
370,815,60 siRNA,,B,16582,RESULTS > siPools affect global transcript levels less than single siRNAs; Figure 4. caption,,unspecified,,,no_quote,NONE
383,826,siEGFP1,,B,15558,RESULTS > siRNA titrations reveal reduced off-targeting by siRNA UNA modification; paragraph 13,,unspecified,,,no_quote,NONE
384,827,Ago2; Ago1,,B,15470,RESULTS > Ago2 is not required for PIK3CB off-target and some on-target siRNA activity; paragraph 15,,unspecified,,,no_quote,NONE
386,829,TNFR1,,B,21536,RESULTS > 736 SENSE STRAND ACTIVITY IS INHIBITED BY CHEMICAL AND SEQUENCE MODIFICATION; paragraph 30,,unspecified,,,no_quote,NONE
390,833,TS1-ASO,,B,1409,RESULTS > Identification of potential nucleobase modifications that reduce LNA gapmer hepatotoxicity; Figure 2. caption,,unspecified,,,no_match,This means that there is no clear correlation between the changes in the off-target effects and the hepatotoxicity observed with the introduction of nucleobase modification.
391,834,S10-1,,B,2253,RESULTS > Indirect FXN activation is unlikely to be mediated by a mutual hybridization-dependent off-target transcript; paragraph 49,,transcriptome-wide,,,tx_wide,"RNA sequencing analyses showed that the two ASOs induced similar transcriptome-wide changes, which did not resemble the transcriptome of wild-type cells."
392,438,LNA ASO,,B,2062,RESULTS > Hepatotoxicity of LNA ASOs is RNase H1 dependent; paragraph 35,,unspecified,,,no_match,"We observed highly selective transcript knockdown in mice treated with non-hepatotoxic LNA ASOs, while the levels of many unintended transcripts were reduced in mice treated with hepatotoxic LNA ASOs."
394,836,TMEM16a,,B,1233,Results > TMEM16a ASO is specific and not toxic; paragraph 12,,unspecified,,,no_match,No notable adverse drug binding of TMEM16a ASO was observed
411,629,PS-ASO,,B,2060,RESULTS > Hybridization-dependent toxicity is not likely to account for the 2′ F PS-ASO-induced hepatotoxicity; Figure 5. caption,,transcriptome-wide,,,tx_wide,"based on analysis of the microarray data, none of the potential off-target transcripts were reduced by >50%"
414,850,CD-1,,B,2063,RESULTS > Evaluation of hepatotoxicity in mice; paragraph 14,,unspecified,,,no_match,"The P53 and Nrf2/ARE reporters were substantially induced by compound 3 but not by 1a or 1b, suggesting these pathways may be associated with motif-related hepatotoxicity."
415,851,WRN-108,,B,1055,Results > Translational activity in non-human primates; paragraph 29,,DPP10;GRHL2;HHLA2,,,explicit,"expression levels of HHLA2, GRHL2, and DPP10 were unchanged compared with vehicle-treated controls"
416,852,KCNT1,,B,1058,Results > KCNT1-knockdown-ASO screening in cell lines and patient iPSC-derived neurons; paragraph 8,,transcriptome-wide,,,tx_wide,We used RNA sequencing (RNA-seq) to perform transcriptome-wide analysis of gene expression patterns in human iPSC-derived neurons before and after gymnotic treatment and found none of these potential targets to be significantly perturbed by KT777
417,853,HIV-1,,B,1210,Results > Study of antiretroviral activity; paragraph 38,,unspecified,,,no_match,oligonucleotide with a mismatched sequence
436,869,ASO-001933,,B,1615,Results > Initial tiling screen identified a parental ASO targeting the 3′ UTR of MAPT with high cross-species reactivity; paragraph 6,,transcriptome-wide,,,tx_wide,Our RNA-seq data revealed that MAPT is the only differentially regulated gene
441,873,T39 ASO,,B,2770,Results > ASOs targeting human mRNAs can also induce a type I IFN response in cultured THP1 cells; paragraph 31,,unspecified,,,no_match,strongly suggesting an off-target effect of the T39 ASO
451,882,IGF2BP2,,B,1732,Results > IGF2BP2 Knockdown promotes ferroptosis in HNSCC via reduced NRF2 mRNA stability; paragraph 10,,unspecified,,,no_match,no enrichment of predicted off-target transcripts among genes with significantly downregulated expressions was observed
456,886,modified siRNA,,B,3301,Results > Screening of SNA-modified siRNAs targeting CAG repeats; paragraph 8,,unspecified,,,no_match,"In the first reporter assay using the AR28Q or AR54Q vectors, REP suppressed both the AR28Q and AR54Q proteins, whereas P9, S9, P9S9, P9S10, and P9S910 selectivity suppressed the AR54Q protein (Figure S1C)."
462,892,si098-DV29P,,B,1477,Results > In vivo silencing of AGT by GalNAc-siRNAs; paragraph 13,,unspecified,,,no_match,"However, two siRNAs, si098-DV29P and si086-DV26P, exerted relatively strong inhibition on their potential off-target genes (Figures S10B and S10E), suggesting that measures should be taken to prevent and control the off-target risk."
463,893,YAP1; WWTR1,,B,1789,Results > Characterization of off-target activities of bsYW-61; paragraph 14,,unspecified,,,no_match,"bsYW-61 reduced luciferase activity in the guide strand seed reporter, confirming seed-mediated off-target effects (Figure 6I)."
464,894,ACTB ASO,,B,1824,RESULTS > RNP delivery reduces transcriptome-wide off-target editing; paragraph 22,,transcriptome-wide,,,tx_wide,transcriptome-wide off-target editing events as compared to plasmid-based expression of TadA8.20-HaloTag.
473,902,UU-3,,B,3544,Results > Synthesis of a Cond-siRNA construct based on RNA sensor Nppa and target gene calcineurin; paragraph 11,,NFATC1,,,explicit,"Unexpectedly, the 2nd generation Cond-siRNA also appeared to decrease NFATc1 levels in the PBS group (independent of its effect on PPP3CA), suggesting an off-target effect or a cellular stress response to this chemical entity."
483,912,SMILR siRNA,,B,8415,Results > Transcriptomic analyses of BHF7-transfected vSMCs demonstrates expected changes to known SMILR regulated genes without apparent toxic effect; paragraph 43,,transcriptome-wide,,,tx_wide,"We further demonstrate using RNA-sequencing that BHF7 down-regulates the expression of genes associated with proliferation and does not induce the expression of interferon or apoptosis genes, suggesting it has a favorable safety profile, both on- and off-target."
493,921,PH-762,,B,10539,Results > PH-762 is a stabilized self-delivering siRNA compound designed to potently silence PDCD1 mRNA with high specificity; paragraph 10,,GRAMD4,,,explicit,"The in silico predictions were confirmed experimentally in CD3/CD28 bead-activated human pan T cells, where no off-target silencing GRAMD4 mRNA was observed, such that an IC50 for PH-762 toward GRAMD4 mRNA could not be determined"
506,932,siIGF1R-1,,B,14112,Results > Transcriptomics and proteomics analysis of modified CT102s; paragraph 23,,GAS2;POLA2;LGALS2;IGFBP1,,NM_001143830;NM_002689;NM_006498;NM_000596,explicit,"It was found that modified CT102s could decrease IGF1R mRNA expression levels in both the nucleus and cytoplasm (Figure 6F) and had a significant effect on the expression of GAS2 (GenBank: NM_001143830), POLA2 (GenBank: NM_002689), LGALS2 (GenBank: NM_006498), and IGFBP1 (GenBank: NM_000596), which have functional roles in the occurrence and development of tumors, possibly by imperfect base pairing"
510,187,SLN360,,B,1486,RESULTS > SLN360 Specifically Downregulates LPA in Primary Hepatocytes; paragraph 28,,PLG;LPAL2,,,explicit,"Except for the pseudogene LPAL2, none of the other identified potential off targets, nor PLG, showed any concentration-dependent reduction in mRNA expression up to SLN360 concentrations of 1000 nM, over 300-fold the IC50 for SLN360 in primary human hepatocytes"
526,881,HTT siRNA,,B,4213,Results > Di-siRNA modulates HTT expression with minimal off-target events; paragraph 33,,ANLN;APOLD1,,,explicit,"Thus, there were only two potential genes, APOLD1 (~ 40% down) and ANLN (~ 20% down), that may be down-regulated due to miRNA-like off-target silencing"
530,952,CEP290; LCA10,,B,12621,"Results > QR-110 Treatment Reduces Aberrant Splicing, Increases Wild-Type CEP290 in Homozygous Retinal Organoids, and Shows No Off-Target Pharmacology; paragraph 15",,unspecified,,,no_match,"Using a 2-fold change as a cutoff, 44 differentially expressed genes were identified, but none has complementarity to QR-110 (Table S8)"
534,956,89E-06,,B,2064,Results > High Confirmation Rate of In Silico Predicted OTEs in Mouse Liver; paragraph 14,,unspecified,,,no_match,Our data show that liver toxicity of LNA-containing gapmer ASOs is associated with their ability to hybridize to off-target transcripts and downregulate their expression.
