id,queue_id,pmid,doi,evidence_domain,candidate_modality,source_location,matched_terms,candidate_signal,suggested_evidence_grade,confidence_label,validation_status,curator_decision,redistribution_level,source_title
23,47,40646322,10.1038/s41591-025-03784-7,assay,ASO,PubMed abstract sentence 4,phase;trial,"assay candidate; matched derived terms: phase, trial; source title: The UBE3A-ATS antisense oligonucleotide rugonersen in children with Angelman syndrome: a phase 1 trial.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,The UBE3A-ATS antisense oligonucleotide rugonersen in children with Angelman syndrome: a phase 1 trial.
24,52,40134378,10.1089/nat.2024.0090,chemistry,siRNA,PubMed abstract sentence 1,galnac;lna;conjugate,"chemistry candidate; matched derived terms: galnac, lna, conjugate; source title: Mechanistic Insights into Hybridization-Based Off-Target Activity of GalNAc-siRNA Conjugates.",B,high_candidate,curator_rejected,reject,derived_annotations_only,Mechanistic Insights into Hybridization-Based Off-Target Activity of GalNAc-siRNA Conjugates.
25,53,40134378,10.1089/nat.2024.0090,delivery,siRNA,PubMed abstract sentence 1,galnac;conjugated,"delivery candidate; matched derived terms: galnac, conjugated; source title: Mechanistic Insights into Hybridization-Based Off-Target Activity of GalNAc-siRNA Conjugates.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Mechanistic Insights into Hybridization-Based Off-Target Activity of GalNAc-siRNA Conjugates.
26,54,40134378,10.1089/nat.2024.0090,offtarget,siRNA,PubMed abstract sentence 2,off-target;seed;silencing,"offtarget candidate; matched derived terms: off-target, seed, silencing; source title: Mechanistic Insights into Hybridization-Based Off-Target Activity of GalNAc-siRNA Conjugates.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Mechanistic Insights into Hybridization-Based Off-Target Activity of GalNAc-siRNA Conjugates.
28,58,40721084,10.1016/j.slasd.2025.100254,assay,ASO,PubMed abstract sentence 8,preclinical;trial,"assay candidate; matched derived terms: preclinical, trial; source title: Off-target effects of oligonucleotides and approaches of preclinical assessments.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Off-target effects of oligonucleotides and approaches of preclinical assessments.
29,59,40721084,10.1016/j.slasd.2025.100254,offtarget,ASO,PubMed abstract sentence 4,off-target;hybridization,"offtarget candidate; matched derived terms: off-target, hybridization; source title: Off-target effects of oligonucleotides and approaches of preclinical assessments.",B,high_candidate,curator_rejected,reject,derived_annotations_only,Off-target effects of oligonucleotides and approaches of preclinical assessments.
31,67,39829133,10.1002/brb3.70221,toxicity,ASO/siRNA,PubMed abstract sentence 3,toxicity;toxic;safety;renal,"toxicity candidate; matched derived terms: toxicity, toxic, safety, renal; source title: Safety and Efficacy of Nusinersen Focusing on Renal and Hematological Parameters in Spinal Muscular Atrophy.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Safety and Efficacy of Nusinersen Focusing on Renal and Hematological Parameters in Spinal Muscular Atrophy.
32,70,38954918,10.1016/j.bmc.2024.117825,chemistry,siRNA,PubMed abstract sentence 2,chemical;modification,"chemistry candidate; matched derived terms: chemical, modification; source title: Advances in structural-guided modifications of siRNA.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Advances in structural-guided modifications of siRNA.
33,73,40877500,10.1007/978-1-0716-4742-4_3,chemistry,ASO/siRNA,PubMed abstract sentence 1,chemical;modification,"chemistry candidate; matched derived terms: chemical, modification; source title: Chemical Modifications in Nucleic Acid Therapeutics.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Chemical Modifications in Nucleic Acid Therapeutics.
38,84,40098305,10.1111/cas.70024,chemistry,ASO,PubMed abstract sentence 5,modified;amna,"chemistry candidate; matched derived terms: modified, amna; source title: AmNA-Modified Antisense Oligonucleotide Targeting MCM8 as a Cancer-Specific Chemosensitizer for Platinum Compounds.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,AmNA-Modified Antisense Oligonucleotide Targeting MCM8 as a Cancer-Specific Chemosensitizer for Platinum Compounds.
42,96,39214039,10.1016/j.hrtlng.2024.08.015,toxicity,siRNA,PubMed abstract sentence 9,toxicity;toxic;adverse;hepatotoxicity,"toxicity candidate; matched derived terms: toxicity, toxic, adverse, hepatotoxicity; source title: Safety and effectiveness of interference RNA (RNAi) based therapeutics in cardiac failure: A systematic review.",B,high_candidate,curator_rejected,reject,derived_annotations_only,Safety and effectiveness of interference RNA (RNAi) based therapeutics in cardiac failure: A systematic review.
43,105,41467114,10.1016/j.omtn.2025.102692,chemistry,ASO,PubMed abstract sentence 5,chemical;modification,"chemistry candidate; matched derived terms: chemical, modification; source title: Unraveling and controlling late-onset neurotoxicity of antisense oligonucleotides through strategic chemical modifications.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Unraveling and controlling late-onset neurotoxicity of antisense oligonucleotides through strategic chemical modifications.
44,106,41467114,10.1016/j.omtn.2025.102692,toxicity,ASO,PubMed abstract sentence 2,toxicity;toxic;adverse,"toxicity candidate; matched derived terms: toxicity, toxic, adverse; source title: Unraveling and controlling late-onset neurotoxicity of antisense oligonucleotides through strategic chemical modifications.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Unraveling and controlling late-onset neurotoxicity of antisense oligonucleotides through strategic chemical modifications.
46,110,41500580,10.2131/jts.51.75,toxicity,ASO/siRNA,PubMed abstract sentence 2,toxicity;toxic;adverse;hepatotoxicity,"toxicity candidate; matched derived terms: toxicity, toxic, adverse, hepatotoxicity; source title: Predicting nucleic acid drug-induced nephrotoxicity using a 3D human renal proximal tubule spheroid model.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Predicting nucleic acid drug-induced nephrotoxicity using a 3D human renal proximal tubule spheroid model.
50,116,41021771,10.1111/cts.70344,toxicity,ASO,PubMed abstract sentence 2,safety;tolerability,"toxicity candidate; matched derived terms: safety, tolerability; source title: Pharmacokinetics and Safety of Pelacarsen, a GalNAc(3)-Conjugated Antisense Oligonucleotide Targeting Apo(a), in Participants With Mild Hepatic Impairment.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,"Pharmacokinetics and Safety of Pelacarsen, a GalNAc(3)-Conjugated Antisense Oligonucleotide Targeting Apo(a), in Participants With Mild Hepatic Impairment."
51,119,41994868,10.1093/nar/gkag345,chemistry,siRNA,PubMed abstract sentence 2,modified;galnac;lna;conjugate,"chemistry candidate; matched derived terms: modified, galnac, lna, conjugate; source title: Acyclic serinol nucleic acid modification of siRNAs overcomes seed region mediated off-target effects while maintaining potency.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Acyclic serinol nucleic acid modification of siRNAs overcomes seed region mediated off-target effects while maintaining potency.
52,120,41994868,10.1093/nar/gkag345,offtarget,siRNA,PubMed abstract sentence 5,off-target;seed,"offtarget candidate; matched derived terms: off-target, seed; source title: Acyclic serinol nucleic acid modification of siRNAs overcomes seed region mediated off-target effects while maintaining potency.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Acyclic serinol nucleic acid modification of siRNAs overcomes seed region mediated off-target effects while maintaining potency.
56,128,42172871,10.1016/j.dmd.2026.100304,assay,ASO,PubMed abstract sentence 8,preclinical;model,"assay candidate; matched derived terms: preclinical, model; source title: Peptide-mediated delivery of an α-synuclein-targeting antisense oligonucleotide: Pharmacokinetics, safety, and central nervous system efficacy in a synucleinopathy model.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,"Peptide-mediated delivery of an α-synuclein-targeting antisense oligonucleotide: Pharmacokinetics, safety, and central nervous system efficacy in a synucleinopathy model."
57,129,42172871,10.1016/j.dmd.2026.100304,toxicity,ASO,PubMed abstract sentence 7,toxicity;toxic,"toxicity candidate; matched derived terms: toxicity, toxic; source title: Peptide-mediated delivery of an α-synuclein-targeting antisense oligonucleotide: Pharmacokinetics, safety, and central nervous system efficacy in a synucleinopathy model.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,"Peptide-mediated delivery of an α-synuclein-targeting antisense oligonucleotide: Pharmacokinetics, safety, and central nervous system efficacy in a synucleinopathy model."
60,136,41918821,10.1093/narmme/ugag016,toxicity,ASO,PubMed abstract sentence 1,toxicity;toxic;safety,"toxicity candidate; matched derived terms: toxicity, toxic, safety; source title: Integrating transcriptomics and proteomics to assess antisense oligonucleotide safety and efficacy: a time-resolved approach.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Integrating transcriptomics and proteomics to assess antisense oligonucleotide safety and efficacy: a time-resolved approach.
67,153,41186228,10.1128/aac.00679-25,toxicity,ASO,PubMed abstract sentence 3,safety;tolerability,"toxicity candidate; matched derived terms: safety, tolerability; source title: Safety, pharmacokinetics, and pharmacodynamics of the antisense oligonucleotide RO7239958 in healthy volunteers and adults with chronic hepatitis B infection.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,"Safety, pharmacokinetics, and pharmacodynamics of the antisense oligonucleotide RO7239958 in healthy volunteers and adults with chronic hepatitis B infection."
68,156,39850319,10.1016/j.omtn.2024.102387,chemistry,ASO,PubMed abstract sentence 6,modification;modified;phosphorothioate;2'-moe,"chemistry candidate; matched derived terms: modification, modified, phosphorothioate, 2'-moe; source title: In vivo efficacy and safety of systemically administered serinol nucleic acid-modified antisense oligonucleotides in mouse kidney.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,In vivo efficacy and safety of systemically administered serinol nucleic acid-modified antisense oligonucleotides in mouse kidney.
70,160,42070763,10.1016/j.ejphar.2026.178917,chemistry,siRNA,PubMed abstract sentence 4,modified;galnac;lna,"chemistry candidate; matched derived terms: modified, galnac, lna; source title: Targeted knockdown of hepatic XDH via GalNAc-siRNA alleviates hyperuricaemia and renal injury in UOX(-/-) mice.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Targeted knockdown of hepatic XDH via GalNAc-siRNA alleviates hyperuricaemia and renal injury in UOX(-/-) mice.
78,174,40685980,10.1177/21593337251361396,chemistry,ASO,PubMed abstract sentence 6,modification;phosphorothioate;2'-moe,"chemistry candidate; matched derived terms: modification, phosphorothioate, 2'-moe; source title: Characterizing Antibodies Targeting Antisense Oligonucleotide Phosphorothioate and 2'-O-Methoxyethyl Modifications for Intracellular Trafficking and Biodistribution Studies.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Characterizing Antibodies Targeting Antisense Oligonucleotide Phosphorothioate and 2'-O-Methoxyethyl Modifications for Intracellular Trafficking and Biodistribution Studies.
79,177,38660533,10.1039/d4ra01925c,chemistry,ASO,PubMed abstract sentence 1,chemical;modified,"chemistry candidate; matched derived terms: chemical, modified; source title: Inhibition of survivin by 2'-O-methyl phosphorothioate-modified steric-blocking antisense oligonucleotides.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Inhibition of survivin by 2'-O-methyl phosphorothioate-modified steric-blocking antisense oligonucleotides.
83,185,40899091,10.1177/21593337251375804,toxicity,siRNA,PubMed abstract sentence 5,toxic;safety,"toxicity candidate; matched derived terms: toxic, safety; source title: Use of a Transgenic Human PNPLA3(I148M) Knock-in Mouse for Translational Safety Evaluations of siRNA Therapeutics.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Use of a Transgenic Human PNPLA3(I148M) Knock-in Mouse for Translational Safety Evaluations of siRNA Therapeutics.
84,188,40151235,10.1021/jacsau.5c00012,chemistry,siRNA,PubMed abstract sentence 3,galnac;lna;conjugate,"chemistry candidate; matched derived terms: galnac, lna, conjugate; source title: General Platform for Efficient and Modular Assembly of GalNAc-siRNA Conjugates via Primary Amines and o-Nitrobenzyl Alcohol Cyclization Photoclick Chemistry Enabling Rapid Access to Therapeutic Oligonucleotides.",B,high_candidate,curator_verified,accept,derived_annotations_only,General Platform for Efficient and Modular Assembly of GalNAc-siRNA Conjugates via Primary Amines and o-Nitrobenzyl Alcohol Cyclization Photoclick Chemistry Enabling Rapid Access to Therapeutic Oligonucleotides.
89,199,42169510,10.1093/eurjpc/zwag273,toxicity,ASO/siRNA,PubMed abstract sentence 6,risk;adverse,"toxicity candidate; matched derived terms: risk, adverse; source title: Efficacy and Safety of Oral PCSK9 Inhibitors: Insights from a Meta-analysis of RCTS.",B,high_candidate,curator_rejected,reject,derived_annotations_only,Efficacy and Safety of Oral PCSK9 Inhibitors: Insights from a Meta-analysis of RCTS.
90,202,42149053,10.1039/d6tb00003g,chemistry,siRNA,PubMed abstract sentence 5,modified;galnac;lna,"chemistry candidate; matched derived terms: modified, galnac, lna; source title: GalNAc-modified five-component lipid nanoparticles for liver-targeted delivery of p65 siRNA to alleviate cytokine storm in liver injury via NF-κB targeting.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,GalNAc-modified five-component lipid nanoparticles for liver-targeted delivery of p65 siRNA to alleviate cytokine storm in liver injury via NF-κB targeting.
91,203,42149053,10.1039/d6tb00003g,delivery,siRNA,PubMed abstract sentence 4,delivery;nanoparticle;lnp,"delivery candidate; matched derived terms: delivery, nanoparticle, lnp; source title: GalNAc-modified five-component lipid nanoparticles for liver-targeted delivery of p65 siRNA to alleviate cytokine storm in liver injury via NF-κB targeting.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,GalNAc-modified five-component lipid nanoparticles for liver-targeted delivery of p65 siRNA to alleviate cytokine storm in liver injury via NF-κB targeting.
92,204,42149053,10.1039/d6tb00003g,toxicity,siRNA,PubMed abstract sentence 11,safety;hematological,"toxicity candidate; matched derived terms: safety, hematological; source title: GalNAc-modified five-component lipid nanoparticles for liver-targeted delivery of p65 siRNA to alleviate cytokine storm in liver injury via NF-κB targeting.",B,high_candidate,curator_rejected,reject,derived_annotations_only,GalNAc-modified five-component lipid nanoparticles for liver-targeted delivery of p65 siRNA to alleviate cytokine storm in liver injury via NF-κB targeting.
93,207,42112102,10.1016/j.omtn.2026.102936,chemistry,siRNA,PubMed abstract sentence 1,galnac;lna;conjugate,"chemistry candidate; matched derived terms: galnac, lna, conjugate; source title: A computational model-powered platform to inform the development of GalNAc-conjugated siRNA therapeutics.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,A computational model-powered platform to inform the development of GalNAc-conjugated siRNA therapeutics.
94,208,42112102,10.1016/j.omtn.2026.102936,delivery,siRNA,PubMed abstract sentence 1,galnac;conjugated,"delivery candidate; matched derived terms: galnac, conjugated; source title: A computational model-powered platform to inform the development of GalNAc-conjugated siRNA therapeutics.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,A computational model-powered platform to inform the development of GalNAc-conjugated siRNA therapeutics.
100,224,41949334,10.1111/cts.70536,chemistry,siRNA,PubMed abstract sentence 4,galnac;lna;conjugate,"chemistry candidate; matched derived terms: galnac, lna, conjugate; source title: A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.
101,225,41949334,10.1111/cts.70536,delivery,siRNA,PubMed abstract sentence 4,galnac;conjugated;uptake,"delivery candidate; matched derived terms: galnac, conjugated, uptake; source title: A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.
102,226,41949334,10.1111/cts.70536,assay,siRNA,PubMed abstract sentence 11,screen;preclinical;model,"assay candidate; matched derived terms: screen, preclinical, model; source title: A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.
103,227,41949334,10.1111/cts.70536,toxicity,siRNA,PubMed abstract sentence 9,toxicity;toxic;hepatotoxicity,"toxicity candidate; matched derived terms: toxicity, toxic, hepatotoxicity; source title: A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,A Long-Term Human Liver Spheroid Model for Assessing Silencing and Durability of GalNAc-Conjugated siRNAs.
110,238,41887560,10.1016/j.amjcard.2026.03.052,toxicity,ASO/siRNA,PubMed abstract sentence 5,risk;adverse,"toxicity candidate; matched derived terms: risk, adverse; source title: Efficacy and Safety of Olezarsen for the Management of Dyslipidemia: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.",B,high_candidate,curator_rejected,reject,derived_annotations_only,Efficacy and Safety of Olezarsen for the Management of Dyslipidemia: An Updated Systematic Review and Meta-Analysis of Randomized Controlled Trials.
113,247,41813449,10.1016/j.nmd.2025.106256,toxicity,ASO/siRNA,PubMed abstract sentence 4,safety;tolerability,"toxicity candidate; matched derived terms: safety, tolerability; source title: A prospective, multi-center, observational study of the safety, tolerability and effectiveness of Nusinersen in adult patients with spinal muscular atrophy.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,"A prospective, multi-center, observational study of the safety, tolerability and effectiveness of Nusinersen in adult patients with spinal muscular atrophy."
114,250,41754970,10.3390/pharmaceutics18020228,delivery,ASO,PubMed abstract sentence 3,delivery;nanoparticle;lnp,"delivery candidate; matched derived terms: delivery, nanoparticle, lnp; source title: Unconventional Lysine-Type Lipid Assemblies Enable Efficient Antisense Oligonucleotide Delivery with Distinct Structural Features.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Unconventional Lysine-Type Lipid Assemblies Enable Efficient Antisense Oligonucleotide Delivery with Distinct Structural Features.
115,251,41754970,10.3390/pharmaceutics18020228,toxicity,ASO,PubMed abstract sentence 6,toxicity;toxic,"toxicity candidate; matched derived terms: toxicity, toxic; source title: Unconventional Lysine-Type Lipid Assemblies Enable Efficient Antisense Oligonucleotide Delivery with Distinct Structural Features.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,Unconventional Lysine-Type Lipid Assemblies Enable Efficient Antisense Oligonucleotide Delivery with Distinct Structural Features.
118,262,41541269,10.1016/j.omtn.2025.102801,chemistry,siRNA,PubMed abstract sentence 1,galnac;lna;conjugate,"chemistry candidate; matched derived terms: galnac, lna, conjugate; source title: Ribofuranose-based GalNAc-conjugated siRNA enhances the liver-targeted delivery and elicits robust RNAi-mediated gene silencing.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Ribofuranose-based GalNAc-conjugated siRNA enhances the liver-targeted delivery and elicits robust RNAi-mediated gene silencing.
119,263,41541269,10.1016/j.omtn.2025.102801,delivery,siRNA,PubMed abstract sentence 2,delivery;galnac;conjugated,"delivery candidate; matched derived terms: delivery, galnac, conjugated; source title: Ribofuranose-based GalNAc-conjugated siRNA enhances the liver-targeted delivery and elicits robust RNAi-mediated gene silencing.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Ribofuranose-based GalNAc-conjugated siRNA enhances the liver-targeted delivery and elicits robust RNAi-mediated gene silencing.
122,270,41388232,10.1007/s40262-025-01606-0,chemistry,siRNA,PubMed abstract sentence 1,chemical;galnac;lna;conjugate,"chemistry candidate; matched derived terms: chemical, galnac, lna, conjugate; source title: Platform Assessment of Concentration-QTc Relationship Across GalNAc-siRNA Molecules.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Platform Assessment of Concentration-QTc Relationship Across GalNAc-siRNA Molecules.
123,271,41388232,10.1007/s40262-025-01606-0,delivery,siRNA,PubMed abstract sentence 1,galnac;conjugated,"delivery candidate; matched derived terms: galnac, conjugated; source title: Platform Assessment of Concentration-QTc Relationship Across GalNAc-siRNA Molecules.",C,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Platform Assessment of Concentration-QTc Relationship Across GalNAc-siRNA Molecules.
124,274,41314857,10.1177/21593337251399181,chemistry,ASO,PubMed abstract sentence 2,chemical;modified,"chemistry candidate; matched derived terms: chemical, modified; source title: Unveiling Liver Micro-Distribution: NanoSIMS Imaging Reveals Critical Intracellular Distribution of Chemically Modified Antisense Oligonucleotides.",B,high_candidate,candidate_needs_curator_review,pending,derived_annotations_only,Unveiling Liver Micro-Distribution: NanoSIMS Imaging Reveals Critical Intracellular Distribution of Chemically Modified Antisense Oligonucleotides.
125,275,41314857,10.1177/21593337251399181,toxicity,ASO,PubMed abstract sentence 1,toxicity;toxic,"toxicity candidate; matched derived terms: toxicity, toxic; source title: Unveiling Liver Micro-Distribution: NanoSIMS Imaging Reveals Critical Intracellular Distribution of Chemically Modified Antisense Oligonucleotides.",B,high_candidate,curator_rejected,reject,derived_annotations_only,Unveiling Liver Micro-Distribution: NanoSIMS Imaging Reveals Critical Intracellular Distribution of Chemically Modified Antisense Oligonucleotides.
128,284,41085094,10.1002/cpdd.1615,toxicity,ASO/siRNA,PubMed abstract sentence 3,safety;tolerability,"toxicity candidate; matched derived terms: safety, tolerability; source title: A Phase 1, Randomized, Open-Label, Parallel Group Study to Evaluate the Relative Bioavailability and Safety of Subcutaneous Bepirovirsen when Delivered from a Vial or Prefilled Syringe Fitted with a Safety Syringe Device in Healthy Adult Participants.",B,high_candidate,machine_precurated_v1,accept,derived_annotations_only,"A Phase 1, Randomized, Open-Label, Parallel Group Study to Evaluate the Relative Bioavailability and Safety of Subcutaneous Bepirovirsen when Delivered from a Vial or Prefilled Syringe Fitted with a Safety Syringe Device in Healthy Adult Participants."
