table_name,column_name,description,release_status
source_document,source_type,Source class such as literature or regulatory source,release
source_document,source_url,Primary source URL or landing page,release
source_document,pmid,PubMed identifier where available,release
source_document,pmcid,PubMed Central identifier where available,release
source_document,doi,Digital object identifier where available,release
source_document,title,Source title,release
source_document,journal_or_agency,Journal name or issuing agency,release
source_document,publication_year,Publication or document year,release
source_document,license_status,Conservative source-class license status,release
source_document,reuse_category,Redistribution class for derived/raw use,release
source_document,accessed_at,Source access timestamp,release
molecule,id,Internal molecule/cohort identifier,release
molecule,canonical_name,Molecule or cohort label,release
molecule,modality_id,Foreign key to modality table,release
molecule,target_gene_symbol,Target gene symbol where available,release
molecule,disease_context,Disease context where available,release
molecule,therapeutic_status,Therapeutic or source-derived status label,release
toxicity_endpoint,id,Toxicity endpoint row identifier,release
toxicity_endpoint,molecule_id,Foreign key to molecule,release
toxicity_endpoint,assay_id,Foreign key to assay metadata,release
toxicity_endpoint,endpoint_name,Toxicity or safety endpoint label,release
toxicity_endpoint,endpoint_category,Normalized endpoint category,release
toxicity_endpoint,source_location,Exact source location supporting the toxicity claim,release
toxicity_endpoint,evidence_grade,Curator-assigned evidence grade A/B/C,release
offtarget_evidence,id,Off-target evidence row identifier,release
offtarget_evidence,molecule_id,Foreign key to molecule,release
offtarget_evidence,evidence_type,Off-target evidence category,release
offtarget_evidence,match_type,Seed/mismatch/transcriptome category where curated,release
offtarget_evidence,is_observed_experimental,Flag for observed experimental evidence,release
offtarget_evidence,is_computational_prediction,Flag for computational-only evidence,release
offtarget_evidence,source_location,Exact source location supporting the off-target claim,release
offtarget_evidence,evidence_grade,Curator-assigned evidence grade A/B/C,release
benchmark_reference_splits,task_name,Benchmark task name,release
benchmark_reference_splits,split_name,Reference split label: train/validation/test,release
benchmark_reference_splits,entity_table,Underlying evidence table,release
benchmark_reference_splits,entity_id,Underlying evidence row identifier,release
benchmark_reference_splits,evidence_domain,Toxicity or off-target task domain,release
benchmark_reference_splits,evidence_grade,Evidence grade used for benchmark eligibility,release
benchmark_reference_splits,leakage_group,Source/molecule leakage-control group,release
benchmark_reference_splits,split_strategy,Deterministic split strategy,release
benchmark_baseline_results,baseline_model,Deterministic baseline model name,release
benchmark_baseline_results,prediction_basis,Feature/group used by the baseline,release
benchmark_baseline_results,accuracy,Accuracy on the evaluation split,release
benchmark_baseline_results,macro_f1,Macro-F1 on the evaluation split,release
benchmark_baseline_results,coverage,Evaluation row coverage for the baseline,release
curation_audit,entity_table,Table audited by the row,release
curation_audit,entity_id,Identifier audited in entity_table,release
curation_audit,extraction_method,Extraction or review method,release
curation_audit,extractor_model_or_script,Script/model/batch source for candidate extraction or promotion,release
curation_audit,validation_status,Review state,release
curation_audit,curator_decision,Curator accept/reject/pending decision,release
curation_audit,curator_id,Curator identifier if retained; may be redacted,release
curation_audit,audit_note,Human audit note,release
source_license_manifest_v1,source_document_id,Source identifier matching source_document.id,release_manifest
source_license_manifest_v1,article_license,Conservative article/source license status captured from source metadata,release_manifest
source_license_manifest_v1,release_evidence_rows,Number of verified release evidence rows linked to the source,release_manifest
source_license_manifest_v1,candidate_rows,Number of candidate triage rows linked to the source,release_manifest
source_license_manifest_v1,oa_subset_status,Whether PMCID/OA-like status is present or not verified,release_manifest
source_license_manifest_v1,raw_text_used,Whether raw source text is stored or redistributed; OligoVigil stores derived annotations only,release_manifest
source_license_manifest_v1,raw_text_stored,Always false for release package,release_manifest
source_license_manifest_v1,raw_redistribution_allowed,Whether raw redistribution is claimed; usually false or not claimed,release_manifest
source_license_manifest_v1,derived_annotation_allowed,Conservative derived annotation reuse status,release_manifest
source_license_manifest_v1,commercial_reuse_allowed,Commercial reuse status when known; otherwise unknown,release_manifest
source_license_manifest_v1,license_review_status,Conservative review status for the source row,release_manifest
source_license_manifest_v1,restriction_note,Human-readable redistribution boundary,release_manifest
